,Identifier,Amount,Time_min,Date,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Correction_of_d34S_by_true_value
10,DddD,,3.0,20190722.0,2,18.706,17.842,0.863,443,2142,9.057,Sample,17.259,9.643555229155803,9.660923843872405,9.763749409886486
13,DddD,,13.0,20190722.0,2,32.356,30.866,1.49,737,3555,9.205,Sample,30.909000000000002,9.539449923970365,9.55536418374906,9.653636730511607
16,DddD,,23.0,20190722.0,2,39.066,37.266,1.801,911,4399,7.712000000000001,Sample,37.619,7.929367332996625,7.944420852097782,7.973209885995972
19,DddD,,33.0,20190722.0,2,31.009,29.578000000000003,1.432,718,3471,7.676,Sample,29.562,7.950847767404101,7.966856016107354,7.9966127277484205
22,DddD,,48.0,20190722.0,2,48.213,45.99100000000001,2.222,1117,5394,7.734,Sample,46.766,7.909532987640594,7.9235674689281135,7.951457050754177
25,DddD,,63.0,20190722.0,2,54.042,51.551,2.491,1252,6044,7.995,Sample,52.595,8.158259676775359,8.17162634201996,8.210215246138091
28,DddD,,78.0,20190722.0,2,79.734,76.059,3.675,1844,8904,7.747000000000001,Sample,78.28699999999999,7.852097739088228,7.862535907315,7.88779306426729
64,DddD,,0.0,20190722.0,2,76.708,73.166,3.5410000000000004,1703,8235,9.196,Sample,75.261,9.333182467679142,9.34431813266185,9.433487801180593
67,DddY,,0.0,20190722.0,2,76.708,73.166,3.5410000000000004,1703,8235,9.196,Sample,75.261,9.333182467679142,9.34431813266185,9.433487801180593
70,DddY,,3.0,20190722.0,2,19.044,18.164,0.88,438,2119,10.122,Sample,17.597,10.784863652895378,10.802257001539497,10.954310765457961
73,DddY,,13.0,20190722.0,2,12.387,11.815999999999999,0.5710000000000001,272,1313,10.894,Sample,10.940000000000001,12.062326846435099,12.080541361472731,12.287730328487807
76,DddY,,23.0,20190722.0,2,6.685,6.376,0.309,150,728,11.882,Sample,5.2379999999999995,14.595083562428409,14.613901585297418,14.930359925259175
79,DddY,,33.0,20190722.0,2,6.617000000000001,6.311,0.306,151,733,11.936,Sample,5.170000000000001,14.699881953578336,14.718695029661841,15.03967334031191
82,DddY,,48.0,20190722.0,2,6.475,6.175,0.3,148,718,12.937000000000001,Sample,5.028,16.067015254574386,16.0858431710144,16.465789574210454
85,DddY,,63.0,20190722.0,2,7.402,7.059,0.34299999999999997,171,832,13.503,Sample,5.955,16.283305407220823,16.302019547594266,16.691290111204864
88,DddY,,78.0,20190722.0,2,9.01,8.593,0.41700000000000004,208,1009,13.665999999999999,Sample,7.563,15.886359605976462,15.904890715286292,16.277032242892755
