,Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value,r_sq
19,DddD,,3.0,a,2.0,107.13799999999999,102.184,4.954,2366.0,11466.0,11.529000000000002,Sample,105.52149999999999,11.65666726765004,11.701662476959696,very_high,11.67569572649889,
22,DddD,,9.0,a,2.0,155.793,148.591,7.202000000000001,3433.0,16629.0,12.02,Sample,154.1765,12.112526053473346,12.12673956909518,very_high,12.109274360477084,
25,DddY,,3.0,a,2.0,132.506,126.37100000000001,6.135,2834.0,13751.0,13.395999999999999,Sample,130.8895,13.521981435358322,13.553475395702748,very_high,13.564544903616802,
28,DddY,,9.0,a,2.0,124.63799999999999,118.863,5.775,2752.0,13364.0,14.408,Sample,123.02149999999999,14.55533640122526,14.589195965020858,very_high,14.620979884321276,
31,DddD,,4.0,b,2.0,92.93799999999999,88.64200000000001,4.297,2122.0,10279.0,11.332,Sample,91.32149999999999,11.476031702100089,11.528066024118113,very_high,11.498627344600475,
34,DddY,,4.0,b,2.0,112.352,107.14399999999999,5.207999999999999,2476.0,12026.0,14.277000000000001,Sample,110.7355,14.438770918841142,14.480592757667516,very_high,14.510204612820866,
37,DddY,,11.0,b,2.0,120.07,114.50200000000001,5.568,2643.0,12841.0,15.92,Sample,118.45349999999999,16.09365204981983,16.130656135276134,very_high,16.193269257981655,
40,DddD,,4.0,c,2.0,127.544,121.641,5.904,2877.0,13956.0,12.889000000000001,Sample,125.9275,13.013437327695168,13.043690788668856,very_high,13.044564604442234,
43,DddD,,11.0,c,2.0,51.305,48.93,2.375,1106.0,5365.0,12.88,Sample,49.6885,13.195073570007816,13.276418295762321,medium,13.523003393508061,
46,DddY,,4.0,c,2.0,123.441,117.71700000000001,5.724,2777.0,13491.0,14.353,Sample,121.8245,14.50105427137672,14.534192614607937,very_high,14.564876466900095,
