,Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
16,Alma1,,0.0,c,2,16.262999999999998,15.51,0.753,366,1776,13.475,Sample,14.750399999999999,14.562873438008461,14.65656037365582,low,15.112519599811728
19,Alma1,,0.0,a,2,39.229,37.411,1.818,882,4280,13.835,Sample,37.7164,14.274890985353851,14.345567269960583,high,14.769756978857824
22,Alma1,,0.0,b,2,41.857,39.919000000000004,1.9380000000000002,946,4588,13.64,Sample,40.3444,14.04392588215465,14.111748132523784,high,14.51957050180045
31,Alma1,,3.0,a,2,35.243,33.608000000000004,1.635,785,3817,14.84,Sample,33.7304,15.376941968076276,15.451943898324366,high,15.953579971207072
34,Alma1,,8.0,a,2,32.845,31.320999999999998,1.524,750,3646,14.879000000000001,Sample,31.3324,15.458919149506581,15.535481879728357,high,16.042965611309345
37,Alma1,,16.0,a,2,40.897,38.998000000000005,1.899,914,4449,15.897,Sample,39.3844,16.397454128030386,16.46670339551832,high,17.039372633204604
40,Alma1,,21.0,a,2,42.449,40.476,1.973,956,4655,16.359,Sample,40.9364,16.857551576591984,16.924927884111494,high,17.5296728359993
43,Alma1,,25.0,a,2,52.581,50.138000000000005,2.444,1186,5777,16.802,Sample,51.068400000000004,17.214759917287402,17.271879539265548,high,17.90091110701414
52,Alma1,,3.0,b,2,30.489,29.073,1.416,667,3246,14.347999999999999,Sample,28.9764,14.947352167971175,15.027616223844836,high,15.499549359513976
55,Alma1,,8.0,b,2,34.476,32.876,1.599,770,3744,14.522,Sample,32.9634,15.05684351007481,15.132514354597337,high,15.611790359419151
58,Alma1,,16.0,b,2,38.716,36.918,1.798,840,4089,15.882,Sample,37.2034,16.41118272415962,16.483731968734777,high,17.057593206546212
61,Alma1,,21.0,b,2,45.148,43.05,2.0980000000000003,975,4748,16.601,Sample,43.635400000000004,17.077103254696873,17.143632270802097,high,17.763686529758246
64,Alma1,,25.0,b,2,45.266000000000005,43.163000000000004,2.102,1017,4949,17.095,Sample,43.753400000000006,17.58689732363656,17.65155337977336,high,18.3071621163575
73,Alma1,,3.0,c,2,30.01,28.619,1.391,680,3301,13.879000000000001,Sample,28.497400000000003,14.46353258051612,14.543216910685267,high,14.981242094433236
76,Alma1,,8.0,c,2,33.41,31.858,1.551,765,3719,14.585999999999999,Sample,31.897399999999998,15.141752724673482,15.217646540620821,high,15.702881798464281
79,Alma1,,16.0,c,2,44.733999999999995,42.655,2.0780000000000003,991,4822,16.302,Sample,43.221399999999996,16.772199682564658,16.838015190110482,high,17.43667625341822
82,Alma1,,21.0,c,2,49.816,47.498999999999995,2.3169999999999997,1090,5309,16.971,Sample,48.3034,17.412679425464876,17.47408009879942,high,18.117265705715383
85,Alma1,,25.0,c,2,64.627,61.623000000000005,3.0039999999999996,1441,7019,16.942999999999998,Sample,63.114399999999996,17.28035986019038,17.3261079395031,high,17.95893549526832
