,FileHeader: Filename,Identifier,Type,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area 64,Area 66,Ampl_64,Ampl  66,d34S,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value,r_sq
13,33812__DddK_1.dxf,DddK,Sample,,4.0,a,2.0,41.976000000000006,40.028,1.949,969.0,4710.0,14.41,40.29225,13.874240944288294,13.824456864099494,low,12.662701432740489,
16,33813__DddK_2.dxf,DddK,Sample,,11.0,a,2.0,44.016999999999996,41.972,2.044,1002.0,4870.0,14.857000000000001,42.33324999999999,14.364850175394048,14.315670365795746,low,13.158827069453704,
19,33814__DddK_3.dxf,DddK,Sample,,20.0,a,2.0,45.602,43.482,2.12,1058.0,5148.0,16.124000000000002,43.91824999999999,15.69818635049211,15.650031969774652,low,14.506532289472398,
22,33815__DddK_4.dxf,DddK,Sample,,27.0,a,2.0,40.133,38.266999999999996,1.8659999999999999,931.0,4529.0,16.282,38.44925,15.802537908736841,15.75205800180747,low,14.609578581825543,
25,33816__DddK_5.dxf,DddK,Sample,,40.0,a,2.0,36.551,34.851,1.7,856.0,4165.0,16.317,34.86725,15.789971726691956,15.738118477511454,low,14.595499662286569,
28,33817__DddQ_6.dxf,DddQ,Sample,,4.0,a,2.0,58.03,55.339,2.6910000000000003,1332.0,6468.0,13.152999999999999,56.34625,12.732325836901301,12.689188733207972,low,11.516080620540052,
31,33818__DddQ_7.dxf,DddQ,Sample,,11.0,a,2.0,55.352,52.785,2.5669999999999997,1263.0,6131.0,13.251,53.66824999999999,12.812409137385698,12.768008558821329,low,11.595688644409542,
34,33819__DddQ_8.dxf,DddQ,Sample,,20.0,a,2.0,43.599,41.576,2.023,1018.0,4940.0,13.573,41.91524999999999,13.024363487931005,12.975476658012944,low,11.805231424593073,
37,33820__DddQ_9.dxf,DddQ,Sample,,27.0,a,2.0,37.188,35.461,1.7269999999999999,890.0,4321.0,13.87,35.50425,13.236381128667693,13.185150461307703,low,12.01700196592078,
40,33821__DddQ_10.dxf,DddQ,Sample,,35.0,a,2.0,42.667,40.685,1.983,993.0,4824.0,13.571,40.98325,13.009804778476573,12.960460167808135,low,11.790064769486216,
55,33828__DddK_17.dxf,DddK,Sample,,4.0,b,2.0,42.588,40.611,1.9769999999999999,1015.0,4931.0,14.443,40.90425,13.916615234052696,13.86767347044459,low,12.706350205149036,
58,33829__DddK_18.dxf,DddK,Sample,,11.0,b,2.0,38.274,36.498000000000005,1.777,892.0,4333.0,14.309000000000001,36.59025,13.714388141308138,13.663194096408178,low,12.499826037372259,
61,33830__DddK_19.dxf,DddK,Sample,,20.0,b,2.0,39.006,37.192,1.814,903.0,4392.0,16.326,37.32225,15.834044857625145,15.783052236255351,low,14.640882758617904,
64,33831__DddK_20.dxf,DddK,Sample,,27.0,b,2.0,45.473,43.358999999999995,2.114,1054.0,5126.0,16.208,43.789249999999996,15.784161836238345,15.735934210600826,low,14.593293552706834,
67,33832__DddK_21.dxf,DddK,Sample,,40.0,b,2.0,47.103,44.913000000000004,2.19,1076.0,5234.0,16.088,45.41925,15.674923929556302,15.627099150979115,low,14.483370142488905,
70,33833__DddQ_22.dxf,DddQ,Sample,,4.0,b,2.0,56.681000000000004,54.052,2.6289999999999996,1323.0,6419.0,13.027999999999999,54.99725,12.593180435158121,12.549878530394656,low,11.375377315698602,
73,33834__DddQ_23.dxf,DddQ,Sample,,11.0,b,2.0,48.922,46.652,2.27,1122.0,5442.0,13.492,47.238249999999994,13.002298956618842,12.955316494622348,low,11.784869659568571,
76,33835__DddQ_24.dxf,DddQ,Sample,,20.0,b,2.0,38.38,36.598,1.7819999999999998,880.0,4274.0,13.562999999999999,36.69625,12.935876681881664,12.884462902221523,low,11.713307531243737,
79,33836__DddQ_25.dxf,DddQ,Sample,,27.0,b,2.0,56.419,53.802,2.617,1322.0,6414.0,13.147,54.73524999999999,12.71375973778324,12.67043952178976,low,11.497143917007657,
82,33837__DddQ_26.dxf,DddQ,Sample,,35.0,b,2.0,44.486000000000004,42.423,2.064,1048.0,5084.0,13.552999999999999,42.80225,13.014946239683661,12.966608746666052,low,11.796274834132712,
97,33844__DddK_33.dxf,DddK,Sample,,4.0,c,2.0,46.24,44.093,2.147,1065.0,5175.0,14.887,44.55625,14.42053818908683,14.372511986979477,low,13.216237106849272,
100,33845__DddK_34.dxf,DddK,Sample,,11.0,c,2.0,41.916000000000004,39.969,1.9469999999999998,975.0,4738.0,14.642000000000001,40.23225,14.1151513198367,14.065477107027991,low,12.90613187809827,
103,33846__DddK_35.dxf,DddK,Sample,,20.0,c,2.0,39.304,37.478,1.8259999999999998,913.0,4442.0,15.474,37.62025,14.947809243359629,14.896999734289986,low,13.745969731632886,
106,33847__DddK_36.dxf,DddK,Sample,,27.0,c,2.0,38.079,36.309,1.77,868.0,4219.0,15.456,36.39525,14.91126585715169,14.859632342731368,low,13.708228666158682,
109,33848__DddK_37.dxf,DddK,Sample,,40.0,c,2.0,43.065,41.063,2.001,1010.0,4908.0,16.531,41.381249999999994,16.09564089261441,16.046607572856228,low,14.907073648584788,
112,33849__DddQ_38.dxf,DddQ,Sample,,4.0,c,2.0,56.104,53.501000000000005,2.603,1317.0,6391.0,13.159,54.420249999999996,12.723623296245425,12.68021152410187,low,11.507013639342887,
115,33850__DddQ_39.dxf,DddQ,Sample,,11.0,c,2.0,51.745,49.343999999999994,2.4,1192.0,5785.0,13.287,50.061249999999994,12.818018720817,12.77231804492156,low,11.600041225370775,
118,33851__DddQ_40.dxf,DddQ,Sample,,20.0,c,2.0,60.318999999999996,57.523999999999994,2.795,1361.0,6598.0,12.956,58.63524999999999,12.546091108804005,12.503485030781112,low,11.328519881088923,
121,33852__DddQ_41.dxf,DddQ,Sample,,27.0,c,2.0,54.438,51.913000000000004,2.525,1246.0,6048.0,13.369000000000002,52.75425,12.92657646895748,12.881864599482855,low,11.710683245477682,
124,33853__DddQ_42.dxf,DddQ,Sample,,35.0,c,2.0,42.868,40.88,1.9880000000000002,989.0,4802.0,13.597000000000001,41.18425,13.039606662437706,12.990188806849208,low,11.820090694917699,
0,,DddK,Sample,,0.0,a,,,,,,,,,,,,12.73,0.76
1,,DddK,Sample,,0.0,b,,,,,,,,,,,,12.53,0.64
