,Name,d34S,Replicate,Time_min,ID,f_R,Real_conc,minus_ln_f_R,d34S_approx_DMSP
0,Alma1,14.76975698,a,0,Alma1_0_a,1,82.04402146,0,14.66174635
1,Alma1,15.95357997,a,3,Alma1_3_a,0.582656218,47.80345925,0.540157944,15.82765911
2,Alma1,16.04296561,a,8,Alma1_8_a,0.380929039,31.25295023,0.965142171,15.91563725
3,Alma1,17.03937263,a,16,Alma1_16_a,0.155802466,12.7826609,1.859166315,16.8958308
4,Alma1,17.52967284,a,21,Alma1_21_a,0.144286997,11.83788549,1.935950927,17.3778004
5,Alma1,17.90091111,a,25,Alma1_25_a,0.069973559,5.74091214,2.659637843,17.74257656
6,Alma1,14.5195705,b,0,Alma1_0_b,1,81.99709674,0,14.41517088
7,Alma1,15.49954936,b,3,Alma1_3_b,0.636398314,52.18281413,0.451930632,15.38065828
8,Alma1,15.61179036,b,8,Alma1_8_b,0.390685085,32.03504275,0.939853451,15.49118004
9,Alma1,17.05759321,b,16,Alma1_16_b,0.155560151,12.75548071,1.860722802,16.91374595
10,Alma1,17.76368653,b,21,Alma1_21_b,0.106026872,8.69389566,2.24406271,17.60775614
11,Alma1,18.30716212,b,25,Alma1_25_b,0.037041644,3.03730726,3.295712488,18.14160358
12,Alma1,15.1125196,c,0,Alma1_0_c,1,82.18007398,0,14.9994631
13,Alma1,14.98124209,c,3,Alma1_3_c,0.565828563,46.49983313,0.56946414,14.87013163
14,Alma1,15.7028818,c,8,Alma1_8_c,0.383963241,31.55412753,0.957208458,15.58086721
15,Alma1,17.43667625,c,16,Alma1_16_c,0.155991218,12.8193698,1.857955571,17.28640176
16,Alma1,18.11726571,c,21,Alma1_21_c,0.150868251,12.39836401,1.891348334,17.95510374
17,Alma1,17.9589355,c,25,Alma1_25_c,0.054812623,4.50450542,2.903834763,17.7995789
