,Transcripts,Enzyme,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads,Sample_ID,Size_fraction_upper_threshold_micrometre,Total_transcripts_per_million_sequences,Station
3,4.12e-07,alma1,North Pacific Ocean,412.00000000000006,,,,
4,0.0,alma1,North Pacific Ocean,0.0,,,,
7,0.0,alma1,North Pacific Ocean,0.0,,,,
8,2.39e-08,alma1,North Pacific Ocean,23.9,,,,
9,1.71e-07,alma1,North Pacific Ocean,171.0,,,,
10,4.16e-08,alma1,North Pacific Ocean,41.6,,,,
11,0.0,alma1,North Pacific Ocean,0.0,,,,
12,0.0,alma1,South Pacific Ocean,0.0,,,,
13,0.0,alma1,South Pacific Ocean,0.0,,,,
17,0.0,alma1,North Pacific Ocean,0.0,,,,
18,0.0,alma1,North Pacific Ocean,0.0,,,,
19,0.0,alma1,North Pacific Ocean,0.0,,,,
20,3.13e-08,alma1,North Pacific Ocean,31.3,,,,
21,0.0,alma1,North Pacific Ocean,0.0,,,,
22,0.0,alma1,North Pacific Ocean,0.0,,,,
23,3.4500000000000005e-08,alma1,North Pacific Ocean,34.50000000000001,,,,
24,0.0,alma1,North Pacific Ocean,0.0,,,,
28,3.01e-07,alma1,Southern Ocean (S of 40S),301.0,,,,
29,9.86e-07,alma1,Southern Ocean (S of 40S),986.0,,,,
30,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
31,2.35e-07,alma1,Southern Ocean (S of 40S),235.0,,,,
32,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
33,1.02e-06,alma1,Southern Ocean (S of 40S),1020.0,,,,
34,0.0,alma1,South Pacific Ocean,0.0,,,,
35,1.05e-07,alma1,South Pacific Ocean,105.0,,,,
36,0.0,alma1,South Pacific Ocean,0.0,,,,
52,0.0,alma1,Indian Ocean,0.0,,,,
53,4.93e-07,alma1,Indian Ocean,493.0,,,,
54,7.61e-08,alma1,Indian Ocean,76.1,,,,
55,0.0,alma1,Indian Ocean,0.0,,,,
56,0.0,alma1,Indian Ocean,0.0,,,,
57,0.0,alma1,Indian Ocean,0.0,,,,
58,0.0,alma1,Indian Ocean,0.0,,,,
59,7.61e-08,alma1,Indian Ocean,76.1,,,,
60,1.2199999999999998e-07,alma1,Indian Ocean,122.0,,,,
61,0.0,alma1,North Pacific Ocean,0.0,,,,
62,2.6e-07,alma1,North Pacific Ocean,260.0,,,,
63,2.9500000000000006e-08,alma1,North Pacific Ocean,29.500000000000004,,,,
66,6.36e-08,alma1,North Pacific Ocean,63.6,,,,
67,0.0,alma1,North Pacific Ocean,0.0,,,,
91,7.299999999999999e-08,alma1,South Atlantic Ocean,72.99999999999999,,,,
92,2.7e-08,alma1,South Atlantic Ocean,27.0,,,,
93,1.34e-06,alma1,South Pacific Ocean,1340.0,,,,
94,0.0,alma1,South Pacific Ocean,0.0,,,,
105,0.0,alma1,Indian Ocean,0.0,,,,
106,0.0,alma1,Indian Ocean,0.0,,,,
148,1.23e-07,alma1,Southern Ocean (S of 40S),123.0,,,,
149,3.03e-07,alma1,Southern Ocean (S of 40S),303.0,,,,
150,6.72e-07,alma1,Southern Ocean (S of 40S),672.0,,,,
151,1.9e-07,alma1,Southern Ocean (S of 40S),190.0,,,,
152,4.6e-08,alma1,Southern Ocean (S of 40S),45.99999999999999,,,,
153,1.5199999999999998e-07,alma1,Southern Ocean (S of 40S),151.99999999999997,,,,
154,5.65e-08,alma1,Southern Ocean (S of 40S),56.5,,,,
214,0.0,alma1,North Pacific Ocean,0.0,,,,
215,0.0,alma1,North Pacific Ocean,0.0,,,,
250,0.0,alma1,North Atlantic Ocean,0.0,,,,
251,0.0,alma1,North Atlantic Ocean,0.0,,,,
252,3.12e-08,alma1,North Atlantic Ocean,31.200000000000006,,,,
253,6.37e-08,alma1,North Atlantic Ocean,63.7,,,,
254,3.09e-08,alma1,North Atlantic Ocean,30.9,,,,
255,1.4e-07,alma1,North Atlantic Ocean,140.0,,,,
256,0.0,alma1,North Atlantic Ocean,0.0,,,,
257,0.0,alma1,North Atlantic Ocean,0.0,,,,
258,5.16e-07,alma1,North Atlantic Ocean,516.0,,,,
294,7.95e-08,alma1,Indian Ocean,79.5,,,,
295,0.0,alma1,Indian Ocean,0.0,,,,
296,3.6e-08,alma1,Indian Ocean,36.0,,,,
297,0.0,alma1,Indian Ocean,0.0,,,,
298,0.0,alma1,Indian Ocean,0.0,,,,
299,2.5e-08,alma1,Indian Ocean,25.0,,,,
300,0.0,alma1,South Pacific Ocean,0.0,,,,
301,0.0,alma1,South Pacific Ocean,0.0,,,,
302,4.3e-08,alma1,South Pacific Ocean,43.0,,,,
303,0.0,alma1,South Pacific Ocean,0.0,,,,
304,0.0,alma1,South Pacific Ocean,0.0,,,,
305,0.0,alma1,South Pacific Ocean,0.0,,,,
306,0.0,alma1,South Pacific Ocean,0.0,,,,
307,1.2199999999999998e-07,alma1,South Pacific Ocean,122.0,,,,
312,2.36e-08,alma1,South Pacific Ocean,23.6,,,,
313,0.0,alma1,South Pacific Ocean,0.0,,,,
314,0.0,alma1,South Pacific Ocean,0.0,,,,
315,0.0,alma1,South Pacific Ocean,0.0,,,,
316,0.0,alma1,South Pacific Ocean,0.0,,,,
317,0.0,alma1,South Pacific Ocean,0.0,,,,
