,Station,Depth,Filter,MGT,Transcripts,Gene,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads
0,9,SRF,0.8 to 5,66,0.0,alma1,Mediterranean Sea,0.0
1,9,SRF,0.8 to 5,44,0.0,alma1,Mediterranean Sea,0.0
2,9,SRF,0.8 to 5,36,1.01e-06,alma1,Mediterranean Sea,1010.0000000000001
3,137,SRF,20 to 180,46,4.1200000000000004e-07,alma1,North Pacific Ocean,412.00000000000006
4,137,SRF,20 to 180,44,0.0,alma1,North Pacific Ocean,0.0
5,111,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
6,111,SRF,180 to 2000,2493,4.91e-08,alma1,South Pacific Ocean,49.1
7,137,DCM,5 to 20,332,0.0,alma1,North Pacific Ocean,0.0
8,137,DCM,5 to 20,58,2.3900000000000002e-08,alma1,North Pacific Ocean,23.900000000000002
9,137,DCM,5 to 20,46,1.71e-07,alma1,North Pacific Ocean,171.0
10,137,DCM,5 to 20,12,4.16e-08,alma1,North Pacific Ocean,41.6
11,137,DCM,5 to 20,44,0.0,alma1,North Pacific Ocean,0.0
12,102,SRF,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
13,102,SRF,20 to 180,332,0.0,alma1,South Pacific Ocean,0.0
14,67,SRF,0.8 to 5,747,0.0,alma1,South Atlantic Ocean,0.0
15,67,SRF,0.8 to 5,58,0.0,alma1,South Atlantic Ocean,0.0
16,67,SRF,0.8 to 5,36,2.59e-07,alma1,South Atlantic Ocean,259.0
17,109,DCM,20 to 180,58,0.0,alma1,North Pacific Ocean,0.0
18,109,DCM,20 to 180,38,0.0,alma1,North Pacific Ocean,0.0
19,109,DCM,20 to 180,166,0.0,alma1,North Pacific Ocean,0.0
20,109,DCM,20 to 180,1580,3.1299999999999996e-08,alma1,North Pacific Ocean,31.299999999999997
21,109,DCM,20 to 180,179,0.0,alma1,North Pacific Ocean,0.0
22,109,DCM,20 to 180,332,0.0,alma1,North Pacific Ocean,0.0
23,109,DCM,20 to 180,2493,3.4500000000000005e-08,alma1,North Pacific Ocean,34.50000000000001
24,109,DCM,20 to 180,44,0.0,alma1,North Pacific Ocean,0.0
25,68,DCM,180 to 2000,332,0.0,alma1,South Atlantic Ocean,0.0
26,68,DCM,180 to 2000,2493,4.23e-08,alma1,South Atlantic Ocean,42.300000000000004
27,68,DCM,180 to 2000,44,0.0,alma1,South Atlantic Ocean,0.0
28,82,SRF,20 to 180,4,3.01e-07,alma1,Southern Ocean (S of 40S),301.0
29,82,SRF,20 to 180,67,9.86e-07,alma1,Southern Ocean (S of 40S),986.0
30,82,SRF,20 to 180,30,0.0,alma1,Southern Ocean (S of 40S),0.0
31,82,SRF,20 to 180,112,2.35e-07,alma1,Southern Ocean (S of 40S),235.0
32,82,SRF,20 to 180,74,0.0,alma1,Southern Ocean (S of 40S),0.0
33,82,SRF,20 to 180,13,1.02e-06,alma1,Southern Ocean (S of 40S),1020.0
34,100,SRF,20 to 180,332,0.0,alma1,South Pacific Ocean,0.0
35,100,SRF,20 to 180,46,1.05e-07,alma1,South Pacific Ocean,105.0
36,100,SRF,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
37,81,SRF,0.8 to 5,2743,0.0,alma1,Southern Ocean (S of 40S),0.0
38,81,SRF,0.8 to 5,179,0.0,alma1,Southern Ocean (S of 40S),0.0
39,81,SRF,0.8 to 5,1580,5.01e-08,alma1,Southern Ocean (S of 40S),50.1
40,81,SRF,0.8 to 5,66,0.0,alma1,Southern Ocean (S of 40S),0.0
41,81,SRF,0.8 to 5,24,0.0,alma1,Southern Ocean (S of 40S),0.0
42,81,SRF,0.8 to 5,13,1.8100000000000002e-07,alma1,Southern Ocean (S of 40S),181.00000000000003
43,81,SRF,0.8 to 5,44,0.0,alma1,Southern Ocean (S of 40S),0.0
44,81,SRF,0.8 to 5,67,8.939999999999999e-08,alma1,Southern Ocean (S of 40S),89.39999999999999
45,81,SRF,0.8 to 5,58,6.46e-08,alma1,Southern Ocean (S of 40S),64.6
46,81,SRF,0.8 to 5,4,1.42e-07,alma1,Southern Ocean (S of 40S),142.0
47,81,SRF,0.8 to 5,85,1.3800000000000002e-07,alma1,Southern Ocean (S of 40S),138.00000000000003
48,81,SRF,0.8 to 5,166,0.0,alma1,Southern Ocean (S of 40S),0.0
49,81,SRF,0.8 to 5,36,1.06e-07,alma1,Southern Ocean (S of 40S),106.0
50,81,SRF,0.8 to 5,74,0.0,alma1,Southern Ocean (S of 40S),0.0
51,81,SRF,0.8 to 5,225,0.0,alma1,Southern Ocean (S of 40S),0.0
52,41,DCM,0.8 to 5,44,0.0,alma1,Indian Ocean,0.0
53,41,DCM,0.8 to 5,178,4.93e-07,alma1,Indian Ocean,493.0
54,41,DCM,0.8 to 5,13,7.61e-08,alma1,Indian Ocean,76.1
55,41,DCM,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
56,41,DCM,0.8 to 5,179,0.0,alma1,Indian Ocean,0.0
57,41,DCM,0.8 to 5,188,0.0,alma1,Indian Ocean,0.0
58,41,DCM,0.8 to 5,166,0.0,alma1,Indian Ocean,0.0
59,41,DCM,0.8 to 5,67,7.61e-08,alma1,Indian Ocean,76.1
60,41,DCM,0.8 to 5,58,1.2199999999999998e-07,alma1,Indian Ocean,121.99999999999999
61,137,SRF,5 to 20,44,0.0,alma1,North Pacific Ocean,0.0
62,137,SRF,5 to 20,46,2.6e-07,alma1,North Pacific Ocean,260.0
63,137,SRF,5 to 20,58,2.9500000000000003e-08,alma1,North Pacific Ocean,29.500000000000004
64,125,SRF,180 to 2000,58,4.1100000000000004e-08,alma1,South Pacific Ocean,41.1
65,125,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
66,138,SRF,180 to 2000,2493,6.36e-08,alma1,North Pacific Ocean,63.6
67,138,SRF,180 to 2000,58,0.0,alma1,North Pacific Ocean,0.0
68,9,SRF,180 to 2000,46,1.08e-07,alma1,Mediterranean Sea,108.0
69,81,DCM,5 to 20,67,2.1e-08,alma1,Southern Ocean (S of 40S),21.0
70,81,DCM,5 to 20,1580,3.01e-07,alma1,Southern Ocean (S of 40S),301.0
71,81,DCM,5 to 20,13,2.1e-08,alma1,Southern Ocean (S of 40S),21.0
72,150,SRF,20 to 180,46,7.47e-08,alma1,North Atlantic Ocean,74.7
73,150,SRF,20 to 180,12,1.04e-07,alma1,North Atlantic Ocean,104.0
74,150,SRF,20 to 180,2493,5.0499999999999996e-08,alma1,North Atlantic Ocean,50.49999999999999
75,93,SRF,0.8 to 5,188,0.0,alma1,South Pacific Ocean,0.0
76,93,SRF,0.8 to 5,166,0.0,alma1,South Pacific Ocean,0.0
77,93,SRF,0.8 to 5,36,2.4899999999999997e-07,alma1,South Pacific Ocean,248.99999999999997
78,93,SRF,0.8 to 5,58,2.91e-07,alma1,South Pacific Ocean,291.0
79,93,SRF,0.8 to 5,24,0.0,alma1,South Pacific Ocean,0.0
80,93,SRF,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
81,93,SRF,0.8 to 5,332,0.0,alma1,South Pacific Ocean,0.0
82,93,SRF,0.8 to 5,179,0.0,alma1,South Pacific Ocean,0.0
83,93,SRF,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
84,67,SRF,5 to 20,58,0.0,alma1,South Atlantic Ocean,0.0
85,67,SRF,5 to 20,36,5.7e-08,alma1,South Atlantic Ocean,57.0
86,67,SRF,5 to 20,44,0.0,alma1,South Atlantic Ocean,0.0
87,4,SRF,180 to 2000,46,1.72e-07,alma1,Mediterranean Sea,172.0
88,131,SRF,0.8 to 5,66,0.0,alma1,North Pacific Ocean,0.0
89,20,SRF,5 to 20,12,8.91e-08,alma1,Mediterranean Sea,89.1
90,20,SRF,5 to 20,1580,9.34e-08,alma1,Mediterranean Sea,93.4
91,76,DCM,20 to 180,46,7.299999999999999e-08,alma1,South Atlantic Ocean,72.99999999999999
92,76,DCM,20 to 180,12,2.7e-08,alma1,South Atlantic Ocean,27.0
93,100,DCM,5 to 20,12,1.34e-06,alma1,South Pacific Ocean,1340.0
94,100,DCM,5 to 20,44,0.0,alma1,South Pacific Ocean,0.0
95,80,SRF,20 to 180,29,0.0,alma1,Southern Ocean (S of 40S),0.0
96,80,SRF,20 to 180,59,0.0,alma1,Southern Ocean (S of 40S),0.0
97,143,SRF,20 to 180,2493,6.02e-08,alma1,North Atlantic Ocean,60.199999999999996
98,143,SRF,20 to 180,12,7.31e-08,alma1,North Atlantic Ocean,73.1
99,143,SRF,20 to 180,46,1.4e-07,alma1,North Atlantic Ocean,140.0
100,143,SRF,20 to 180,38,0.0,alma1,North Atlantic Ocean,0.0
101,132,SRF,0.8 to 5,29,0.0,alma1,North Pacific Ocean,0.0
102,132,SRF,0.8 to 5,36,2.94e-08,alma1,North Pacific Ocean,29.4
103,132,SRF,0.8 to 5,46,6.62e-08,alma1,North Pacific Ocean,66.2
104,132,SRF,0.8 to 5,66,0.0,alma1,North Pacific Ocean,0.0
105,52,SRF,5 to 20,332,0.0,alma1,Indian Ocean,0.0
106,52,SRF,5 to 20,44,0.0,alma1,Indian Ocean,0.0
107,72,DCM,20 to 180,46,6.559999999999999e-08,alma1,South Atlantic Ocean,65.6
108,72,DCM,20 to 180,38,0.0,alma1,South Atlantic Ocean,0.0
109,98,DCM,0.8 to 5,36,1.12e-07,alma1,South Pacific Ocean,112.0
110,98,DCM,0.8 to 5,178,8.39e-08,alma1,South Pacific Ocean,83.9
111,98,DCM,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
112,98,DCM,0.8 to 5,179,0.0,alma1,South Pacific Ocean,0.0
113,98,DCM,0.8 to 5,332,0.0,alma1,South Pacific Ocean,0.0
114,98,DCM,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
115,98,DCM,0.8 to 5,58,1.6100000000000003e-07,alma1,South Pacific Ocean,161.00000000000003
116,51,DCM,180 to 2000,38,0.0,alma1,Indian Ocean,0.0
117,22,DCM,5 to 20,12,8.369999999999999e-08,alma1,Mediterranean Sea,83.69999999999999
118,22,DCM,5 to 20,35,3.25e-07,alma1,Mediterranean Sea,325.0
119,148,SRF,5 to 20,1580,2.1e-07,alma1,North Atlantic Ocean,210.0
120,148,SRF,5 to 20,2493,9.92e-07,alma1,North Atlantic Ocean,992.0
121,148,SRF,5 to 20,12,6.900000000000001e-08,alma1,North Atlantic Ocean,69.00000000000001
122,22,SRF,0.8 to 5,12,2.5e-08,alma1,Mediterranean Sea,25.0
123,22,SRF,0.8 to 5,36,1.8e-07,alma1,Mediterranean Sea,180.0
124,22,SRF,0.8 to 5,58,2.64e-08,alma1,Mediterranean Sea,26.400000000000002
125,22,SRF,0.8 to 5,66,0.0,alma1,Mediterranean Sea,0.0
126,22,SRF,0.8 to 5,4,0.0,alma1,Mediterranean Sea,0.0
127,22,SRF,0.8 to 5,2743,0.0,alma1,Mediterranean Sea,0.0
128,144,SRF,5 to 20,12,5.26e-08,alma1,North Atlantic Ocean,52.6
129,144,SRF,5 to 20,2493,5.5800000000000003e-08,alma1,North Atlantic Ocean,55.800000000000004
130,46,SRF,20 to 180,166,0.0,alma1,Indian Ocean,0.0
131,46,SRF,20 to 180,44,0.0,alma1,Indian Ocean,0.0
132,152,SRF,180 to 2000,2493,3.16e-08,alma1,North Atlantic Ocean,31.599999999999998
133,144,SRF,0.8 to 5,36,3.39e-07,alma1,North Atlantic Ocean,339.0
134,144,SRF,0.8 to 5,44,0.0,alma1,North Atlantic Ocean,0.0
135,144,SRF,0.8 to 5,178,1.69e-07,alma1,North Atlantic Ocean,169.0
136,144,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
137,46,SRF,0.8 to 5,44,0.0,alma1,Indian Ocean,0.0
138,46,SRF,0.8 to 5,178,3.71e-08,alma1,Indian Ocean,37.1
139,46,SRF,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
140,46,SRF,0.8 to 5,76,0.0,alma1,Indian Ocean,0.0
141,46,SRF,0.8 to 5,2743,0.0,alma1,Indian Ocean,0.0
142,46,SRF,0.8 to 5,179,0.0,alma1,Indian Ocean,0.0
143,46,SRF,0.8 to 5,225,0.0,alma1,Indian Ocean,0.0
144,46,SRF,0.8 to 5,166,0.0,alma1,Indian Ocean,0.0
145,46,SRF,0.8 to 5,36,2.7e-08,alma1,Indian Ocean,27.0
146,46,SRF,0.8 to 5,58,8.58e-08,alma1,Indian Ocean,85.8
147,46,SRF,0.8 to 5,4,0.0,alma1,Indian Ocean,0.0
148,84,SRF,20 to 180,112,1.23e-07,alma1,Southern Ocean (S of 40S),123.0
149,84,SRF,20 to 180,67,3.03e-07,alma1,Southern Ocean (S of 40S),303.0
150,84,SRF,20 to 180,30,6.72e-07,alma1,Southern Ocean (S of 40S),672.0
151,84,SRF,20 to 180,4,1.9e-07,alma1,Southern Ocean (S of 40S),190.0
152,84,SRF,20 to 180,85,4.5999999999999995e-08,alma1,Southern Ocean (S of 40S),45.99999999999999
153,84,SRF,20 to 180,13,1.5199999999999998e-07,alma1,Southern Ocean (S of 40S),151.99999999999997
154,84,SRF,20 to 180,74,5.65e-08,alma1,Southern Ocean (S of 40S),56.5
155,135,SRF,0.8 to 5,188,0.0,alma1,North Pacific Ocean,0.0
156,135,SRF,0.8 to 5,36,2.81e-07,alma1,North Pacific Ocean,281.0
157,135,SRF,0.8 to 5,166,0.0,alma1,North Pacific Ocean,0.0
158,135,SRF,0.8 to 5,67,2.45e-08,alma1,North Pacific Ocean,24.5
159,135,SRF,0.8 to 5,58,4.02e-07,alma1,North Pacific Ocean,402.0
160,135,SRF,0.8 to 5,38,0.0,alma1,North Pacific Ocean,0.0
161,135,SRF,0.8 to 5,44,0.0,alma1,North Pacific Ocean,0.0
