,Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Gene,Percentage_of_genome_equivalents
1350,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dddD,2.65
450,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dddK,0.0
1575,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dddL,0.0
675,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dddP,5.44
1125,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dddQ,0.0
900,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dddW,0.0
225,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,dmdA,21.93
0,ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,recA_hits,2211.0
1351,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dddD,2.01
451,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dddK,0.0
1576,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dddL,0.0
676,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dddP,1.42
1126,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dddQ,0.0
901,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dddW,0.0
226,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,dmdA,24.76
1,ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,recA_hits,13960.0
1352,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dddD,1.13
452,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dddK,14.53
1577,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dddL,0.0
677,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dddP,1.03
1127,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dddQ,0.19
902,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dddW,0.0
227,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,dmdA,10.39
2,ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,recA_hits,17154.0
1353,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddD,1.56
453,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddK,0.0
1578,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddL,0.0
678,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddP,0.84
1128,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddQ,1.56
903,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddW,0.0
228,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dmdA,30.79
3,ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,recA_hits,2932.0
1354,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dddD,2.01
454,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dddK,1.48
1579,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dddL,0.0
679,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dddP,1.49
1129,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dddQ,0.0
904,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dddW,0.0
229,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,dmdA,13.03
4,ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,recA_hits,2925.0
1355,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddD,1.39
455,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddK,0.0
1580,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddL,0.0
680,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddP,0.94
1130,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddQ,0.0
905,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddW,0.0
230,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,dmdA,13.41
5,ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,recA_hits,2697.0
1356,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dddD,0.0
456,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dddK,0.0
1581,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dddL,0.0
681,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dddP,0.63
1131,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dddQ,0.0
906,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dddW,0.0
231,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,dmdA,2.94
6,ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,recA_hits,1515.0
1357,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dddD,0.81
457,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dddK,0.0
1582,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dddL,0.0
682,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dddP,1.66
1132,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dddQ,0.0
907,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dddW,0.0
232,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,dmdA,13.4
7,ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,recA_hits,14038.0
1358,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dddD,4.47
458,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dddK,3.5
1583,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dddL,0.0
683,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dddP,1.27
1133,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dddQ,0.0
908,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dddW,0.0
233,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,dmdA,15.16
8,ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,recA_hits,13183.0
1359,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dddD,3.05
459,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dddK,5.9
1584,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dddL,0.0
684,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dddP,0.28
1134,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dddQ,0.0
909,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dddW,0.0
234,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,dmdA,26.96
9,ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,recA_hits,15521.0
1360,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dddD,9.49
460,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dddK,60.73
1585,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dddL,0.0
685,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dddP,12.98
1135,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dddQ,0.0
910,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dddW,0.0
235,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,dmdA,23.89
10,ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,recA_hits,10305.0
1361,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dddD,2.31
461,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dddK,0.95
1586,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dddL,0.0
686,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dddP,3.14
1136,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dddQ,2.28
911,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dddW,0.0
236,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,dmdA,27.47
11,ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,recA_hits,9338.0
1362,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddD,2.3
462,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddK,0.41
1587,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddL,0.0
687,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddP,0.18
1137,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddQ,0.0
912,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddW,0.0
237,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dmdA,24.65
12,ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,recA_hits,7937.0
1363,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dddD,0.5
463,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dddK,0.0
1588,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dddL,0.0
688,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dddP,3.21
1138,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dddQ,0.0
913,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dddW,0.0
238,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,dmdA,19.53
13,ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,recA_hits,1629.0
1364,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dddD,1.08
464,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dddK,1.03
1589,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dddL,0.0
689,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dddP,0.59
1139,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dddQ,0.0
914,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dddW,0.0
239,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,dmdA,18.52
14,ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,recA_hits,10722.0
1365,ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,dddD,3.8
465,ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,dddK,0.0
1590,ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,dddL,0.1
690,ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,dddP,6.78
1140,ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,dddQ,0.0
915,ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,dddW,0.0
