,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
78,Tara_Oceans,ERR598943,alma1,1,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,0.0376766384420921,0.027301911914559492
79,Tara_Oceans,ERR598945,alma1,0,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,0.0,0.0
80,Tara_Oceans,ERR598952,alma1,0,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,0.0,0.0
81,Tara_Oceans,ERR598953,alma1,0,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,0.0,0.0
82,Tara_Oceans,ERR598956,alma1,0,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,0.0,0.0
83,Tara_Oceans,ERR598976,alma1,0,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,0.0,0.0
84,Tara_Oceans,ERR598977,alma1,0,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,0.0,0.0
85,Tara_Oceans,ERR598988,alma1,0,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,0.0,0.0
86,Tara_Oceans,ERR598999,alma1,0,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,0.0,0.0
87,Tara_Oceans,ERR599004,alma1,0,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,0.0,0.0
88,Tara_Oceans,ERR599010,alma1,0,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,0.0,0.0
89,Tara_Oceans,ERR599011,alma1,0,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,0.0,0.0
90,Tara_Oceans,ERR599015,alma1,0,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,0.0,0.0
91,Tara_Oceans,ERR599016,alma1,0,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,0.0,0.0
92,Tara_Oceans,ERR599022,alma1,0,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,0.0,0.0
93,Tara_Oceans,ERR599027,alma1,0,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,0.0,0.0
94,Tara_Oceans,ERR599031,alma1,0,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,0.0,0.0
95,Tara_Oceans,ERR599035,alma1,0,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,0.0,0.0
96,Tara_Oceans,ERR599067,alma1,0,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,0.0,0.0
97,Tara_Oceans,ERR599098,alma1,0,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,0.0,0.0
98,Tara_Oceans,ERR599102,alma1,0,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,0.0,0.0
99,Tara_Oceans,ERR599104,alma1,0,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,0.0,0.0
100,Tara_Oceans,ERR599109,alma1,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.0,0.0
