FileHeader,Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl _64,Ampl _66,d34S
30857__Blank_0.dxf,Blank,1,23.195,22.134,1.061,1166,5592,0
30857__Blank_0.dxf,Blank,2,1.641,1.566,0.075,38,183,-0.331
30857__Blank_0.dxf,Blank,3,22.503,21.474,1.029,1150,5512,-0.085
30858__Blank_1.dxf,Blank,1,22.892,21.844,1.047,1159,5556,0
30858__Blank_1.dxf,Blank,2,1.232,1.175,0.056,29,137,1.468
30858__Blank_1.dxf,Blank,3,22.183,21.169,1.015,1141,5469,-0.173
30859__Blank_2.dxf,Blank,1,22.733,21.693,1.04,1154,5533,0
30859__Blank_2.dxf,Blank,2,1.117,1.066,0.051,27,130,1.941
30859__Blank_2.dxf,Blank,3,22.303,21.283,1.02,1148,5502,-0.133
30860__Blank_3.dxf,Blank,1,22.792,21.749,1.043,1154,5536,0
30860__Blank_3.dxf,Blank,2,1.207,1.152,0.055,29,138,1.16
30860__Blank_3.dxf,Blank,3,21.963,20.959,1.005,1132,5426,-0.13
30861__Blank_4.dxf,Blank,1,22.608,21.574,1.034,1146,5497,0
30861__Blank_4.dxf,Blank,2,1.203,1.148,0.055,29,138,1.248
30861__Blank_4.dxf,Blank,3,21.838,20.838,0.999,1127,5406,-0.163
30862__Blank_5.dxf,Blank,1,22.518,21.487,1.03,1143,5481,0
30862__Blank_5.dxf,Blank,2,1.262,1.204,0.058,30,143,1.994
30862__Blank_5.dxf,Blank,3,21.724,20.73,0.994,1123,5385,-0.205
30867__Blank_3.dxf,Blank,1,23.029,21.975,1.054,1164,5581,0
30867__Blank_3.dxf,Blank,2,1.419,1.354,0.065,34,161,2.289
30867__Blank_3.dxf,Blank,3,22.384,21.36,1.024,1146,5494,-0.182
30885__Blank_21.dxf,Blank,1,23.672,22.589,1.083,1186,5688,0
30885__Blank_21.dxf,Blank,2,1.654,1.578,0.076,39,189,1.676
30885__Blank_21.dxf,Blank,3,23.209,22.147,1.062,1175,5637,-0.16
30920__Blank_56.dxf,Blank,1,23.714,22.628,1.086,1184,5683,0
30920__Blank_56.dxf,Blank,2,1.85,1.765,0.085,43,206,3.708
30920__Blank_56.dxf,Blank,3,23.267,22.201,1.066,1176,5643,-0.105
