Identifier,Amount,Time_min,Date,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
Sulfanilamide,4,,,1,37.961,36.223,1.738,1900,9116,0,Standard
Sulfanilamide,4,,,2,51.711,49.338,2.373,1170,5621,2.441,Standard
Sulfanilamide,4,,,3,37.734,36.007,1.727,1893,9083,-0.404,Standard
Sulfanilamide,2,,,1,38.115,36.369,1.746,1905,9145,0,Standard
Sulfanilamide,2,,,2,27.047,25.805,1.242,628,3020,2.485,Standard
Sulfanilamide,2,,,3,37.853,36.119,1.734,1904,9136,-0.086,Standard
SW,2,,,1,38.171,36.423,1.748,1907,9152,0,Standard
SW,2,,,2,28.247,26.932,1.315,637,3108,18.616,Standard
SW,2,,,3,37.741,36.012,1.729,1897,9105,0.021,Standard
DddD,,3,20190722,1,40.04,38.206,1.834,2005,9621,0,Sample
DddD,,3,20190722,2,18.706,17.842,0.863,443,2142,9.057,Sample
DddD,,3,20190722,3,39.745,37.926,1.82,1996,9575,-0.354,Sample
DddD,,13,20190722,1,40.08,38.246,1.835,2005,9616,0,Sample
DddD,,13,20190722,2,32.356,30.866,1.49,737,3555,9.205,Sample
DddD,,13,20190722,3,39.863,38.038,1.825,1998,9588,0.363,Sample
DddD,,23,20190722,1,40.13,38.293,1.837,2009,9641,0,Sample
DddD,,23,20190722,2,39.066,37.266,1.801,911,4399,7.712,Sample
DddD,,23,20190722,3,39.899,38.073,1.826,1995,9569,-0.291,Sample
DddD,,33,20190722,1,40.017,38.185,1.832,2002,9604,0,Sample
DddD,,33,20190722,2,31.009,29.578,1.432,718,3471,7.676,Sample
DddD,,33,20190722,3,39.734,37.915,1.819,1989,9543,0.09,Sample
DddD,,48,20190722,1,39.897,38.07,1.827,1995,9571,0,Sample
DddD,,48,20190722,2,48.213,45.991,2.222,1117,5394,7.734,Sample
DddD,,48,20190722,3,39.83,38.007,1.823,1990,9543,-0.357,Sample
DddD,,63,20190722,1,39.924,38.097,1.828,1997,9579,0,Sample
DddD,,63,20190722,2,54.042,51.551,2.491,1252,6044,7.995,Sample
DddD,,63,20190722,3,39.829,38.005,1.824,1989,9541,0.221,Sample
DddD,,78,20190722,1,39.898,38.072,1.827,1993,9564,0,Sample
DddD,,78,20190722,2,79.734,76.059,3.675,1844,8904,7.747,Sample
DddD,,78,20190722,3,37.119,35.419,1.699,1853,8891,-0.124,Sample
Sulfanilamide,4,,,1,37.512,35.794,1.718,1872,8981,0,Standard
Sulfanilamide,4,,,2,52.385,49.98,2.404,1197,5752,2.714,Standard
Sulfanilamide,4,,,3,37.362,35.651,1.711,1871,8977,-0.048,Standard
Sulfanilamide,2,,,1,37.66,35.936,1.725,1878,9013,0,Standard
Sulfanilamide,2,,,2,26.459,25.245,1.215,619,2975,2.727,Standard
Sulfanilamide,2,,,3,37.795,36.064,1.731,1877,9005,-0.085,Standard
SW,2,,,1,37.852,36.119,1.733,1886,9052,0,Standard
SW,2,,,2,27.862,26.565,1.297,647,3154,18.679,Standard
SW,2,,,3,37.174,35.472,1.702,1863,8941,-0.046,Standard
Sulfanilamide,4,,,1,37.746,36.017,1.729,1884,9045,0,Standard
Sulfanilamide,4,,,2,51.688,49.315,2.373,1161,5580,2.466,Standard
Sulfanilamide,4,,,3,37.35,35.639,1.711,1871,8980,-0.128,Standard
SW,4,,,1,37.651,35.927,1.724,1877,9011,0,Standard
SW,4,,,2,54.111,51.59,2.521,1237,6040,19.835,Standard
SW,4,,,3,37.318,35.609,1.709,1866,8956,-0.092,Standard
Sulfanilamide,2,,,1,37.231,35.526,1.705,1859,8921,0,Standard
Sulfanilamide,2,,,2,26.842,25.609,1.232,614,2951,2.706,Standard
Sulfanilamide,2,,,3,37.244,35.538,1.705,1869,8969,-0.163,Standard
SW,2,,,1,37.491,35.774,1.717,1861,8932,0,Standard
SW,2,,,2,27.413,26.137,1.276,648,3160,18.895,Standard
SW,2,,,3,37.061,35.364,1.697,1858,8914,-0.074,Standard
Sulfanilamide,4,,,1,37.735,36.007,1.728,1879,9020,0,Standard
Sulfanilamide,4,,,2,52,49.612,2.388,1162,5584,2.752,Standard
Sulfanilamide,4,,,3,37.854,36.12,1.734,1894,9090,-0.111,Standard
SW,4,,,1,38.017,36.275,1.742,1897,9108,0,Standard
SW,4,,,2,54.565,52.021,2.544,1237,6044,20.02,Standard
SW,4,,,3,38.234,36.483,1.752,1912,9178,-0.077,Standard
Sulfanilamide,2,,,1,43.681,41.681,2,2174,10432,0,Standard
Sulfanilamide,2,,,2,26.087,24.89,1.198,584,2808,2.907,Standard
Sulfanilamide,2,,,3,42.819,40.859,1.96,2143,10281,-0.137,Standard
SW,2,,,1,43.095,41.122,1.973,2145,10294,0,Standard
SW,2,,,2,26.032,24.82,1.212,595,2903,19.115,Standard
SW,2,,,3,42.367,40.427,1.94,2118,10161,-0.135,Standard
DddD,,0,20190722,1,37.52,35.802,1.718,1873,8987,0,Sample
DddD,,0,20190722,2,76.708,73.166,3.541,1703,8235,9.196,Sample
DddD,,0,20190722,3,37.497,35.78,1.717,1870,8972,-0.13,Sample
DddY,,0,20190722,1,37.52,35.802,1.718,1873,8987,0,Sample
DddY,,0,20190722,2,76.708,73.166,3.541,1703,8235,9.196,Sample
DddY,,0,20190722,3,37.497,35.78,1.717,1870,8972,-0.13,Sample
DddY,,3,20190722,1,37.672,35.947,1.725,1881,9027,0,Sample
DddY,,3,20190722,2,19.044,18.164,0.88,438,2119,10.122,Sample
DddY,,3,20190722,3,37.247,35.542,1.705,1865,8946,-0.445,Sample
DddY,,13,20190722,1,37.51,35.792,1.717,1874,8991,0,Sample
DddY,,13,20190722,2,12.387,11.816,0.571,272,1313,10.894,Sample
DddY,,13,20190722,3,42.668,40.715,1.953,2133,10232,-0.184,Sample
DddY,,23,20190722,1,37.201,35.498,1.704,1859,8922,0,Sample
DddY,,23,20190722,2,6.685,6.376,0.309,150,728,11.882,Sample
DddY,,23,20190722,3,36.759,35.076,1.683,1845,8855,-0.024,Sample
DddY,,33,20190722,1,37.193,35.49,1.703,1859,8923,0,Sample
DddY,,33,20190722,2,6.617,6.311,0.306,151,733,11.936,Sample
DddY,,33,20190722,3,36.745,35.062,1.682,1849,8871,-0.125,Sample
DddY,,48,20190722,1,36.982,35.288,1.694,1840,8828,0,Sample
DddY,,48,20190722,2,6.475,6.175,0.3,148,718,12.937,Sample
DddY,,48,20190722,3,36.773,35.089,1.683,1849,8872,-0.348,Sample
DddY,,63,20190722,1,37.451,35.737,1.714,1866,8954,0,Sample
DddY,,63,20190722,2,7.402,7.059,0.343,171,832,13.503,Sample
DddY,,63,20190722,3,36.537,34.864,1.673,1837,8814,0.312,Sample
DddY,,78,20190722,1,37.498,35.781,1.717,1875,8996,0,Sample
DddY,,78,20190722,2,9.01,8.593,0.417,208,1009,13.666,Sample
DddY,,78,20190722,3,37.056,35.359,1.697,1864,8945,-0.1,Sample
