Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
Blank,1,38.169,36.421,1.748,1898,9109,0
Blank,2,1.565,1.493,0.072,36,173,1.468
Blank,3,37.343,35.633,1.71,1875,8997,-0.249
Blank,1,37.788,36.057,1.731,1883,9037,0
Blank,2,1.346,1.284,0.062,31,151,1.803
Blank,3,37.241,35.536,1.705,1877,9005,-0.214
Blank,1,37.674,35.949,1.725,1884,9040,0
Blank,2,1.289,1.23,0.059,31,151,0.973
Blank,3,36.987,35.294,1.693,1864,8945,-0.193
Blank,1,37.504,35.787,1.717,1873,8990,0
Blank,2,1.315,1.254,0.06,31,147,1.807
Blank,3,36.866,35.179,1.688,1859,8919,-0.255
Blank,1,37.401,35.689,1.712,1870,8974,0
Blank,2,1.231,1.174,0.056,29,141,1.318
Blank,3,36.688,35.009,1.679,1852,8885,-0.237
Blank,1,37.068,35.371,1.697,1852,8886,0
Blank,2,1.339,1.278,0.061,33,157,2.972
Blank,3,36.409,34.742,1.667,1840,8826,-0.243
Blank,1,37.57,35.85,1.721,1873,8989,0
Blank,2,1.833,1.748,0.084,41,200,6.774
Blank,3,36.933,35.242,1.691,1861,8932,-0.161
Blank,1,39.503,37.694,1.81,1960,9411,0
Blank,2,2.013,1.92,0.093,46,224,5.585
Blank,3,38.897,37.116,1.782,1944,9333,-0.129
Blank,1,39.929,38.101,1.829,1982,9510,0
Blank,2,2.185,2.084,0.101,50,243,5.675
Blank,3,39.315,37.515,1.8,1970,9450,-0.159
Blank,1,39.75,37.93,1.82,1971,9460,0
Blank,2,1.849,1.764,0.085,43,209,3.549
Blank,3,38.823,37.045,1.778,1948,9345,-0.141
Blank,1,39.044,37.256,1.788,1939,9303,0
Blank,2,1.817,1.734,0.084,43,207,4.259
Blank,3,38.387,36.629,1.757,1925,9236,-0.145
Blank,1,39.021,37.234,1.787,1938,9299,0
Blank,2,1.616,1.542,0.074,38,182,2.159
Blank,3,38.365,36.608,1.756,1929,9252,-0.204
