Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
Sulfanilamide,4,,,1,36.524,34.85,1.673,1826,8769,0,Standard
Sulfanilamide,4,,,2,43.488,41.492,1.996,965,4640,2.007,Standard
Sulfanilamide,4,,,3,36.04,34.389,1.651,1809,8686,-0.066,Standard
SW,4,,,1,36.154,34.499,1.656,1809,8680,0,Standard
SW,4,,,2,44.761,42.677,2.084,996,4862,19.192,Standard
SW,4,,,3,35.847,34.206,1.642,1796,8620,0.063,Standard
Sulfanilamide,4,,,1,36.09,34.437,1.653,1801,8642,0,Standard
Sulfanilamide,4,,,2,45.159,43.086,2.072,1005,4828,2.273,Standard
Sulfanilamide,4,,,3,35.95,34.304,1.646,1809,8680,-0.107,Standard
SW,4,,,1,36.462,34.792,1.67,1822,8747,0,Standard
SW,4,,,2,46.216,44.063,2.153,1037,5064,19.405,Standard
SW,4,,,3,36.005,34.356,1.649,1806,8670,0.047,Standard
Sulfanilamide,2,,,1,36.173,34.516,1.657,1805,8665,0,Standard
Sulfanilamide,2,,,2,19.719,18.814,0.905,444,2133,2.397,Standard
Sulfanilamide,2,,,3,35.616,33.985,1.631,1792,8600,-0.015,Standard
Alma1,,0,c,1,35.849,34.207,1.642,1796,8623,0,Sample
Alma1,,0,c,2,16.263,15.51,0.753,366,1776,13.475,Sample
Alma1,,0,c,3,35.504,33.877,1.626,1792,8601,0.006,Sample
Alma1,,0,a,1,36.371,34.705,1.667,1822,8750,0,Sample
Alma1,,0,a,2,39.229,37.411,1.818,882,4280,13.835,Sample
Alma1,,0,a,3,36.272,34.61,1.662,1820,8740,-0.052,Sample
Alma1,,0,b,1,36.387,34.72,1.667,1822,8748,0,Sample
Alma1,,0,b,2,41.857,39.919,1.938,946,4588,13.64,Sample
Alma1,,0,b,3,36.047,34.396,1.651,1815,8712,-0.043,Sample
Sulfanilamide,4,,,1,36.614,34.937,1.677,1829,8781,0,Standard
Sulfanilamide,4,,,2,44.409,42.371,2.039,979,4707,2.595,Standard
Sulfanilamide,4,,,3,36.471,34.8,1.67,1832,8797,-0.117,Standard
SW,4,,,1,36.954,35.262,1.693,1844,8850,0,Standard
SW,4,,,2,44.87,42.779,2.091,993,4852,19.61,Standard
SW,4,,,3,37.021,35.326,1.696,1857,8916,-0.081,Standard
Alma1,,3,a,1,37.212,35.507,1.705,1863,8942,0,Sample
Alma1,,3,a,2,35.243,33.608,1.635,785,3817,14.84,Sample
Alma1,,3,a,3,36.933,35.241,1.692,1855,8903,-0.009,Sample
Alma1,,8,a,1,37.179,35.476,1.703,1863,8944,0,Sample
Alma1,,8,a,2,32.845,31.321,1.524,750,3646,14.879,Sample
Alma1,,8,a,3,36.826,35.139,1.687,1846,8863,-0.038,Sample
Alma1,,16,a,1,37.163,35.461,1.702,1854,8898,0,Sample
Alma1,,16,a,2,40.897,38.998,1.899,914,4449,15.897,Sample
Alma1,,16,a,3,36.919,35.228,1.691,1849,8873,0.03,Sample
Alma1,,21,a,1,37.001,35.305,1.695,1850,8884,0,Sample
Alma1,,21,a,2,42.449,40.476,1.973,956,4655,16.359,Sample
Alma1,,21,a,3,36.908,35.217,1.691,1852,8894,-0.008,Sample
Alma1,,25,a,1,37.122,35.422,1.7,1855,8903,0,Sample
Alma1,,25,a,2,52.581,50.138,2.444,1186,5777,16.802,Sample
Alma1,,25,a,3,37.059,35.362,1.697,1854,8901,-0.09,Sample
Sulfanilamide,2,,,1,37.159,35.457,1.702,1857,8911,0,Standard
Sulfanilamide,2,,,2,21.164,20.192,0.972,473,2274,2.84,Standard
Sulfanilamide,2,,,3,36.878,35.189,1.689,1850,8879,-0.056,Standard
SW,2,,,1,37.181,35.478,1.703,1858,8920,0,Standard
SW,2,,,2,20.931,19.956,0.974,463,2259,18.714,Standard
SW,2,,,3,36.661,34.982,1.679,1846,8862,0.12,Standard
Alma1,,3,b,1,37.163,35.46,1.703,1853,8901,0,Sample
Alma1,,3,b,2,30.489,29.073,1.416,667,3246,14.348,Sample
Alma1,,3,b,3,36.924,35.232,1.692,1849,8882,-0.047,Sample
Alma1,,8,b,1,37.198,35.495,1.704,1861,8931,0,Sample
Alma1,,8,b,2,34.476,32.876,1.599,770,3744,14.522,Sample
Alma1,,8,b,3,36.978,35.284,1.694,1854,8898,0.026,Sample
Alma1,,16,b,1,37.148,35.446,1.702,1861,8935,0,Sample
Alma1,,16,b,2,38.716,36.918,1.798,840,4089,15.882,Sample
Alma1,,16,b,3,37.239,35.533,1.706,1864,8946,-0.036,Sample
Alma1,,21,b,1,37.437,35.723,1.715,1871,8982,0,Sample
Alma1,,21,b,2,45.148,43.05,2.098,975,4748,16.601,Sample
Alma1,,21,b,3,37.302,35.593,1.708,1872,8985,-0.087,Sample
Alma1,,25,b,1,37.443,35.728,1.715,1871,8982,0,Sample
Alma1,,25,b,2,45.266,43.163,2.102,1017,4949,17.095,Sample
Alma1,,25,b,3,37.231,35.526,1.705,1870,8974,-0.018,Sample
Sulfanilamide,4,,,1,37.226,35.521,1.705,1859,8925,0,Standard
Sulfanilamide,4,,,2,43.559,41.559,2,954,4589,2.817,Standard
Sulfanilamide,4,,,3,37.087,35.389,1.699,1860,8926,-0.043,Standard
SW,4,,,1,37.612,35.888,1.724,1870,8982,0,Standard
SW,4,,,2,45.173,43.067,2.106,1005,4907,19.838,Standard
SW,4,,,3,37.411,35.697,1.714,1872,8991,-0.002,Standard
Alma1,,3,c,1,37.555,35.835,1.72,1876,9003,0,Sample
Alma1,,3,c,2,30.01,28.619,1.391,680,3301,13.879,Sample
Alma1,,3,c,3,37.218,35.513,1.705,1862,8939,0.001,Sample
Alma1,,8,c,1,37.52,35.8,1.72,1872,8991,0,Sample
Alma1,,8,c,2,33.41,31.858,1.551,765,3719,14.586,Sample
Alma1,,8,c,3,37.225,35.519,1.706,1864,8956,-0.04,Sample
Alma1,,16,c,1,37.244,35.538,1.706,1868,8968,0,Sample
Alma1,,16,c,2,44.734,42.655,2.078,991,4822,16.302,Sample
Alma1,,16,c,3,37.336,35.625,1.71,1866,8956,0.005,Sample
Alma1,,21,c,1,37.445,35.729,1.716,1873,8993,0,Sample
Alma1,,21,c,2,49.816,47.499,2.317,1090,5309,16.971,Sample
Alma1,,21,c,3,37.369,35.656,1.712,1866,8963,-0.061,Sample
Alma1,,25,c,1,37.442,35.727,1.715,1871,8982,0,Sample
Alma1,,25,c,2,64.627,61.623,3.004,1441,7019,16.943,Sample
Alma1,,25,c,3,37.323,35.614,1.71,1865,8951,0.023,Sample
Sulfanilamide,4,,,1,37.291,35.583,1.708,1860,8926,0,Standard
Sulfanilamide,4,,,2,43.379,41.387,1.992,965,4638,2.8,Standard
Sulfanilamide,4,,,3,37.06,35.363,1.697,1858,8919,-0.069,Standard
SW,4,,,1,37.328,35.618,1.71,1859,8922,0,Standard
SW,4,,,2,39.516,37.677,1.839,689,3361,18.332,Standard
SW,4,,,3,37.261,35.555,1.707,1858,8919,0.04,Standard
Sulfanilamide,4,,,1,37.337,35.626,1.711,1861,8939,0,Standard
Sulfanilamide,4,,,2,48.51,46.282,2.229,1092,5255,2.78,Standard
Sulfanilamide,4,,,3,37.131,35.429,1.702,1852,8895,-0.028,Standard
Sulfanilamide,2,,,1,37.335,35.624,1.71,1862,8939,0,Standard
Sulfanilamide,2,,,2,21.68,20.685,0.996,483,2321,2.905,Standard
Sulfanilamide,2,,,3,37.123,35.422,1.701,1861,8936,-0.089,Standard
SW,2,,,1,37.503,35.785,1.718,1869,8971,0,Standard
SW,2,,,2,20.65,19.688,0.962,457,2229,18.806,Standard
SW,2,,,3,37.203,35.498,1.704,1866,8958,-0.006,Standard
