Identifier 1,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
Blank,1,35.677,34.043,1.635,1783,8563,0
Blank,2,1.741,1.661,0.08,42,203,4.682
Blank,3,35.286,33.669,1.617,1778,8539,0.253
Blank,1,35.618,33.986,1.632,1782,8558,0
Blank,2,1.764,1.683,0.081,43,209,4.419
Blank,3,38.103,36.356,1.746,1913,9186,0.17
Blank,1,35.83,34.188,1.642,1784,8569,0
Blank,2,2.498,2.383,0.115,61,296,5.85
Blank,3,35.434,33.81,1.624,1772,8514,0.123
Blank,1,35.856,34.213,1.643,1788,8583,0
Blank,2,2.087,1.991,0.096,52,250,5.467
Blank,3,35.293,33.676,1.617,1769,8492,-0.031
Blank,1,35.758,34.12,1.638,1782,8552,0
Blank,2,1.923,1.835,0.088,48,233,5.04
Blank,3,35.367,33.747,1.62,1775,8521,-0.073
