FileHeader: Filename,Identifier,Type,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area 64,Area 66,Ampl_64,Ampl  66,d34S
33806__SW_2.dxf,SW,Standard,4,,,1,38.352,36.594,1.759,1908,9168,0
33806__SW_2.dxf,SW,Standard,4,,,2,47.219,45.01,2.209,1095,5358,23.109
33806__SW_2.dxf,SW,Standard,4,,,3,38.45,36.686,1.764,1912,9191,0.658
33807__Sulfanilamide_3.dxf,Sulfanilamide,Standard,4,,,1,38.329,36.571,1.758,1907,9163,0
33807__Sulfanilamide_3.dxf,Sulfanilamide,Standard,4,,,2,49.922,47.622,2.3,1177,5669,5.382
33807__Sulfanilamide_3.dxf,Sulfanilamide,Standard,4,,,3,38.465,36.701,1.764,1915,9206,0.38
33808__Sulfanilamide_4.dxf,Sulfanilamide,Standard,6,,,1,38.536,36.769,1.767,1916,9207,0
33808__Sulfanilamide_4.dxf,Sulfanilamide,Standard,6,,,2,74.473,71.044,3.429,1681,8096,4.869
33808__Sulfanilamide_4.dxf,Sulfanilamide,Standard,6,,,3,38.744,36.968,1.777,1924,9247,0.23
33809__SW_5.dxf,SW,Standard,6,,,1,38.56,36.792,1.768,1917,9211,0
33809__SW_5.dxf,SW,Standard,6,,,2,71.336,68.003,3.333,1606,7860,21.954
33809__SW_5.dxf,SW,Standard,6,,,3,38.475,36.711,1.764,1912,9186,0.256
33812__DddK_1.dxf,DddK,Sample,,4,a,1,38.139,36.39,1.749,1896,9109,0
33812__DddK_1.dxf,DddK,Sample,,4,a,2,41.976,40.028,1.949,969,4710,14.41
33812__DddK_1.dxf,DddK,Sample,,4,a,3,38.268,36.513,1.755,1904,9150,0.294
33813__DddK_2.dxf,DddK,Sample,,11,a,1,38.187,36.437,1.751,1897,9114,0
33813__DddK_2.dxf,DddK,Sample,,11,a,2,44.017,41.972,2.044,1002,4870,14.857
33813__DddK_2.dxf,DddK,Sample,,11,a,3,38.344,36.586,1.758,1909,9173,0.197
33814__DddK_3.dxf,DddK,Sample,,20,a,1,38.35,36.592,1.758,1908,9168,0
33814__DddK_3.dxf,DddK,Sample,,20,a,2,45.602,43.482,2.12,1058,5148,16.124
33814__DddK_3.dxf,DddK,Sample,,20,a,3,38.389,36.629,1.76,1908,9168,0.227
33815__DddK_4.dxf,DddK,Sample,,27,a,1,38.513,36.747,1.766,1913,9190,0
33815__DddK_4.dxf,DddK,Sample,,27,a,2,40.133,38.267,1.866,931,4529,16.282
33815__DddK_4.dxf,DddK,Sample,,27,a,3,38.509,36.743,1.766,1918,9215,0.272
33816__DddK_5.dxf,DddK,Sample,,40,a,1,38.737,36.961,1.776,1924,9245,0
33816__DddK_5.dxf,DddK,Sample,,40,a,2,36.551,34.851,1.7,856,4165,16.317
33816__DddK_5.dxf,DddK,Sample,,40,a,3,38.818,37.038,1.78,1933,9290,0.238
33817__DddQ_6.dxf,DddQ,Sample,,4,a,1,38.759,36.982,1.777,1931,9274,0
33817__DddQ_6.dxf,DddQ,Sample,,4,a,2,58.03,55.339,2.691,1332,6468,13.153
33817__DddQ_6.dxf,DddQ,Sample,,4,a,3,38.81,37.031,1.779,1930,9272,0.121
33818__DddQ_7.dxf,DddQ,Sample,,11,a,1,38.86,37.079,1.781,1931,9276,0
33818__DddQ_7.dxf,DddQ,Sample,,11,a,2,55.352,52.785,2.567,1263,6131,13.251
33818__DddQ_7.dxf,DddQ,Sample,,11,a,3,38.66,36.888,1.773,1923,9238,0.195
33819__DddQ_8.dxf,DddQ,Sample,,20,a,1,38.883,37.1,1.782,1931,9274,0
33819__DddQ_8.dxf,DddQ,Sample,,20,a,2,43.599,41.576,2.023,1018,4940,13.573
33819__DddQ_8.dxf,DddQ,Sample,,20,a,3,38.824,37.044,1.78,1925,9248,0.183
33820__DddQ_9.dxf,DddQ,Sample,,27,a,1,38.822,37.042,1.78,1929,9265,0
33820__DddQ_9.dxf,DddQ,Sample,,27,a,2,37.188,35.461,1.727,890,4321,13.87
33820__DddQ_9.dxf,DddQ,Sample,,27,a,3,38.734,36.958,1.776,1929,9270,0.186
33821__DddQ_10.dxf,DddQ,Sample,,35,a,1,38.888,37.105,1.783,1932,9280,0
33821__DddQ_10.dxf,DddQ,Sample,,35,a,2,42.667,40.685,1.983,993,4824,13.571
33821__DddQ_10.dxf,DddQ,Sample,,35,a,3,39,37.212,1.788,1938,9313,0.069
33823__Sulfanilamide_12.dxf,Sulfanilamide,Standard,4,6,b,1,39.011,37.222,1.788,1939,9316,0
33823__Sulfanilamide_12.dxf,Sulfanilamide,Standard,4,6,b,2,49.581,47.299,2.283,1131,5447,4.87
33823__Sulfanilamide_12.dxf,Sulfanilamide,Standard,4,6,b,3,38.932,37.148,1.785,1933,9288,0.014
33824__SW_13.dxf,SW,Standard,4,20,b,1,38.958,37.172,1.786,1933,9285,0
33824__SW_13.dxf,SW,Standard,4,20,b,2,51.541,49.132,2.409,1189,5817,22.405
33824__SW_13.dxf,SW,Standard,4,20,b,3,38.957,37.171,1.786,1933,9286,0.191
33825__Sulfanilamide_14.dxf,Sulfanilamide,Standard,6,26,b,1,39.065,37.274,1.791,1941,9324,0
33825__Sulfanilamide_14.dxf,Sulfanilamide,Standard,6,26,b,2,72.639,69.298,3.341,1682,8094,3.837
33825__Sulfanilamide_14.dxf,Sulfanilamide,Standard,6,26,b,3,39.145,37.35,1.795,1943,9335,0.147
33826__SW_15.dxf,SW,Standard,6,37,b,1,38.991,37.203,1.788,1933,9289,0
33826__SW_15.dxf,SW,Standard,6,37,b,2,69.935,66.667,3.267,1609,7872,21.856
33826__SW_15.dxf,SW,Standard,6,37,b,3,38.979,37.191,1.787,1933,9290,0.19
33828__DddK_17.dxf,DddK,Sample,,4,b,1,38.872,37.09,1.782,1929,9268,0
33828__DddK_17.dxf,DddK,Sample,,4,b,2,42.588,40.611,1.977,1015,4931,14.443
33828__DddK_17.dxf,DddK,Sample,,4,b,3,38.769,36.991,1.778,1928,9264,0.009
33829__DddK_18.dxf,DddK,Sample,,11,b,1,38.777,36.999,1.778,1924,9243,0
33829__DddK_18.dxf,DddK,Sample,,11,b,2,38.274,36.498,1.777,892,4333,14.309
33829__DddK_18.dxf,DddK,Sample,,11,b,3,38.76,36.983,1.777,1926,9253,0.034
33830__DddK_19.dxf,DddK,Sample,,20,b,1,38.756,36.979,1.777,1921,9229,0
33830__DddK_19.dxf,DddK,Sample,,20,b,2,39.006,37.192,1.814,903,4392,16.326
33830__DddK_19.dxf,DddK,Sample,,20,b,3,38.589,36.82,1.769,1917,9210,0.061
33831__DddK_20.dxf,DddK,Sample,,27,b,1,38.84,37.06,1.78,1921,9229,0
33831__DddK_20.dxf,DddK,Sample,,27,b,2,45.473,43.359,2.114,1054,5126,16.208
33831__DddK_20.dxf,DddK,Sample,,27,b,3,38.596,36.827,1.769,1919,9220,0.094
33832__DddK_21.dxf,DddK,Sample,,40,b,1,38.589,36.82,1.769,1916,9207,0
33832__DddK_21.dxf,DddK,Sample,,40,b,2,47.103,44.913,2.19,1076,5234,16.088
33832__DddK_21.dxf,DddK,Sample,,40,b,3,38.854,37.073,1.782,1929,9271,0.277
33833__DddQ_22.dxf,DddQ,Sample,,4,b,1,38.744,36.968,1.777,1922,9235,0
33833__DddQ_22.dxf,DddQ,Sample,,4,b,2,56.681,54.052,2.629,1323,6419,13.028
33833__DddQ_22.dxf,DddQ,Sample,,4,b,3,38.766,36.988,1.778,1925,9252,0.085
33834__DddQ_23.dxf,DddQ,Sample,,11,b,1,38.746,36.969,1.777,1923,9240,0
33834__DddQ_23.dxf,DddQ,Sample,,11,b,2,48.922,46.652,2.27,1122,5442,13.492
33834__DddQ_23.dxf,DddQ,Sample,,11,b,3,38.516,36.75,1.766,1914,9197,0.165
33835__DddQ_24.dxf,DddQ,Sample,,20,b,1,38.613,36.843,1.77,1917,9207,0
33835__DddQ_24.dxf,DddQ,Sample,,20,b,2,38.38,36.598,1.782,880,4274,13.563
33835__DddQ_24.dxf,DddQ,Sample,,20,b,3,38.546,36.779,1.767,1916,9206,0.029
33836__DddQ_25.dxf,DddQ,Sample,,27,b,1,38.744,36.968,1.777,1920,9228,0
33836__DddQ_25.dxf,DddQ,Sample,,27,b,2,56.419,53.802,2.617,1322,6414,13.147
33836__DddQ_25.dxf,DddQ,Sample,,27,b,3,38.432,36.669,1.762,1906,9161,0.024
33837__DddQ_26.dxf,DddQ,Sample,,35,b,1,38.415,36.654,1.761,1905,9151,0
33837__DddQ_26.dxf,DddQ,Sample,,35,b,2,44.486,42.423,2.064,1048,5084,13.553
33837__DddQ_26.dxf,DddQ,Sample,,35,b,3,38.366,36.607,1.759,1908,9168,-0.023
33839__Sulfanilamide_28.dxf,Sulfanilamide,Standard,4,,,1,38.317,36.559,1.757,1909,9171,0
33839__Sulfanilamide_28.dxf,Sulfanilamide,Standard,4,,,2,49.821,47.527,2.294,1166,5610,4.535
33839__Sulfanilamide_28.dxf,Sulfanilamide,Standard,4,,,3,38.373,36.613,1.76,1907,9163,-0.032
33840__SW_29.dxf,SW,Standard,4,,,1,38.448,36.686,1.763,1909,9170,0
33840__SW_29.dxf,SW,Standard,4,,,2,52.536,50.08,2.456,1198,5859,22.483
33840__SW_29.dxf,SW,Standard,4,,,3,38.264,36.51,1.754,1899,9125,0.03
33841__Sulfanilamide_30.dxf,Sulfanilamide,Standard,6,,,1,38.291,36.535,1.756,1902,9139,0
33841__Sulfanilamide_30.dxf,Sulfanilamide,Standard,6,,,2,68.82,65.654,3.166,1591,7656,3.495
33841__Sulfanilamide_30.dxf,Sulfanilamide,Standard,6,,,3,38.354,36.595,1.759,1907,9168,-0.009
33842__SW_31.dxf,SW,Standard,6,,,1,38.375,36.615,1.76,1906,9158,0
33842__SW_31.dxf,SW,Standard,6,,,2,70.712,67.408,3.304,1644,8039,21.58
33842__SW_31.dxf,SW,Standard,6,,,3,38.476,36.711,1.764,1909,9170,-0.03
33844__DddK_33.dxf,DddK,Sample,,4,c,1,38.538,36.771,1.767,1911,9183,0
33844__DddK_33.dxf,DddK,Sample,,4,c,2,46.24,44.093,2.147,1065,5175,14.887
33844__DddK_33.dxf,DddK,Sample,,4,c,3,38.539,36.772,1.767,1915,9203,0.331
33845__DddK_34.dxf,DddK,Sample,,11,c,1,38.556,36.788,1.768,1913,9195,0
33845__DddK_34.dxf,DddK,Sample,,11,c,2,41.916,39.969,1.947,975,4738,14.642
33845__DddK_34.dxf,DddK,Sample,,11,c,3,38.51,36.744,1.766,1916,9209,-0.247
33846__DddK_35.dxf,DddK,Sample,,20,c,1,38.479,36.715,1.764,1913,9194,0
33846__DddK_35.dxf,DddK,Sample,,20,c,2,39.304,37.478,1.826,913,4442,15.474
33846__DddK_35.dxf,DddK,Sample,,20,c,3,38.477,36.712,1.765,1912,9189,0.357
33847__DddK_36.dxf,DddK,Sample,,27,c,1,38.602,36.832,1.77,1912,9189,0
33847__DddK_36.dxf,DddK,Sample,,27,c,2,38.079,36.309,1.77,868,4219,15.456
33847__DddK_36.dxf,DddK,Sample,,27,c,3,38.425,36.662,1.762,1908,9171,0.077
33848__DddK_37.dxf,DddK,Sample,,40,c,1,38.505,36.74,1.766,1910,9177,0
33848__DddK_37.dxf,DddK,Sample,,40,c,2,43.065,41.063,2.001,1010,4908,16.531
33848__DddK_37.dxf,DddK,Sample,,40,c,3,38.52,36.754,1.766,1913,9194,-0.05
33849__DddQ_38.dxf,DddQ,Sample,,4,c,1,38.398,36.638,1.76,1906,9154,0
33849__DddQ_38.dxf,DddQ,Sample,,4,c,2,56.104,53.501,2.603,1317,6391,13.159
33849__DddQ_38.dxf,DddQ,Sample,,4,c,3,38.315,36.559,1.757,1903,9141,0.107
