FileHeader: Filename,Identifier,Peak_Nr,Area_All,Area 64,Area 66,Ampl_64,Ampl  66,d34S
33805__Blank_1.dxf,Blank,1,38.198,36.447,1.751,1900,9128,0
33805__Blank_1.dxf,Blank,2,1.465,1.394,0.071,36,179,62.772
33805__Blank_1.dxf,Blank,3,38.192,36.44,1.752,1906,9162,0.588
33822__Blank_11.dxf,Blank,1,39.08,37.288,1.791,1942,9328,0
33822__Blank_11.dxf,Blank,2,1.605,1.53,0.075,39,187,20.333
33822__Blank_11.dxf,Blank,3,38.595,36.826,1.769,1928,9264,0.077
33838__Blank_27.dxf,Blank,1,38.556,36.789,1.767,1915,9203,0
33838__Blank_27.dxf,Blank,2,1.869,1.783,0.087,46,222,13.528
33838__Blank_27.dxf,Blank,3,37.957,36.217,1.741,1897,9118,0.32
33854__Blank_43.dxf,Blank,1,38.506,36.741,1.765,1911,9185,0
33854__Blank_43.dxf,Blank,2,1.796,1.713,0.083,43,210,12.29
33854__Blank_43.dxf,Blank,3,38.312,36.556,1.756,1909,9171,-0.252
