Name,Replicate,Time_min,Calc_conc,Real_conc,Date,Volume_rxn,Volume_capsule
DddD,a,53,1.169453565,,20190831,2511.882114,97.37765623
DddD,a,45,1.571669777,,20190831,1989.505692,96.96233958
DddD,a,37,1.718822049,,20190831,1641.254743,100
DddD,a,26,2.363466448,,20190831,1392.504065,97.37432227
DddD,a,20,2.729446732,,20190831,1205.941057,99.14700117
DddD,a,9,5.617723571,,20190831,1060.836495,82.60642937
DddD,a,3,7.002513836,,20190831,944.7528458,75.32570336
DddD,a,0,9.64,,20190831,,
DddD,b,0,9.53,,20190831,,
DddD,c,0,10.01,,20190831,,
DddY,a,53,1.384221903,,20190831,,
DddY,a,45,1.760093547,,20190831,,
DddY,a,37,2.294226935,,20190831,,
DddY,a,26,3.002566694,,20190831,,
DddY,a,20,3.516537202,,20190831,,
DddY,a,9,5.424158509,,20190831,,
DddY,a,3,6.709084778,,20190831,,
DddY,a,0,9.64,,20190831,,
DddY,b,0,9.53,,20190831,,
DddY,c,0,10.01,,20190831,,
DddD,b,51,1.584190552,,20190831,2511.882114,94.04664977
DddD,b,43,1.261697051,,20190831,1989.505692,100
DddD,b,35,1.594268474,,20190831,1641.254743,100
DddD,b,25,2.299723007,,20190831,1392.504065,100
DddD,b,18,2.8943204,,20190831,1205.941057,100
DddD,b,11,4.738580108,,20190831,1060.836495,100
DddD,b,4,6.875099552,,20190831,944.7528458,81.62448933
DddD,c,51,1.329821727,,20190831,2511.882114,100
DddD,c,43,1.560241677,,20190831,1989.505692,100
DddD,c,35,1.700497299,,20190831,1641.254743,100
DddD,c,25,2.211428494,,20190831,1392.504065,100
DddD,c,18,3.233290883,,20190831,1205.941057,96
DddD,c,11,5.226924369,,20190831,1060.836495,95.6
DddD,c,4,7.200521337,,20190831,944.7528458,77.9
DddY,b,51,2.001254415,,20190831,,
DddY,b,43,2.434665153,,20190831,,
DddY,b,35,2.726554018,,20190831,,
DddY,b,25,3.358653798,,20190831,,
DddY,b,18,3.820521522,,20190831,,
DddY,b,11,5.028483261,,20190831,,
DddY,b,4,6.964774871,,20190831,,
DddY,c,51,2.257276919,,20190831,,
DddY,c,43,2.568149425,,20190831,,
DddY,c,35,2.799083287,,20190831,,
DddY,c,25,3.151339855,,20190831,,
DddY,c,18,4.09105144,,20190831,,
DddY,c,11,5.483216751,,20190831,,
DddY,c,4,6.910186195,,20190831,,
Alma1,a,25,0.574091214,,20190913,,
Alma1,a,21,1.183788549,,20190913,,
Alma1,a,16,1.27826609,,20190913,,
Alma1,a,8,3.125295023,,20190913,,
Alma1,a,3,4.780345925,,20190913,,
Alma1,a,0,8.204402146,,20190913,,
Alma1,b,25,0.303730726,,20190913,,
Alma1,b,21,0.869389566,,20190913,,
Alma1,b,16,1.275548071,,20190913,,
Alma1,b,8,3.203504275,,20190913,,
Alma1,b,3,5.218281413,,20190913,,
Alma1,b,0,8.199709674,,20190913,,
Alma1,c,25,0.450450542,,20190920,,
Alma1,c,21,1.239836401,,20190920,,
Alma1,c,16,1.28193698,,20190920,,
Alma1,c,8,3.155412753,,20190920,,
Alma1,c,3,4.649983313,,20190920,,
Alma1,c,0,8.218007398,,20190920,,
DmdA,a,0,,206.3445209,20190930,,
DmdA,a,3,,174.4335969,20190930,380,28.22970068
DmdA,a,15,,156.5148112,20190930,530,22.55738203
DmdA,a,25,,97.83631857,20190930,580,32.97553954
DmdA,a,38,,85,20190930,600,36.69017896
DmdA,a,51,,76,20190930,380,64.54163716
DddP,b,0,,202.639093,20190930,,
DddP,b,3,,164.9625466,20190930,330,39.11562343
DddP,b,15,,108.1726844,20190930,350,49.42359755
DddP,b,25,,101.0728865,20190930,430,43.05433462
DddP,b,38,,89.13231717,20190930,520,40.37211164
DddP,b,51,,78.15990214,20190930,680,35.20684323
DddP,c,0,,200.0756246,20190930,,
DddP,c,3,,160.4748455,20190930,330,39.11562343
DddP,c,15,,98.0249934,20190930,350,49.42359755
DddP,c,25,,94.43923685,20190930,430,43.05433462
DddP,c,38,,84.73461889,20190930,520,40.37211164
DddP,c,51,,71.79429852,20190930,680,35.20684323
DmdA,b,0,,209.6190864,20191001,,
DmdA,b,3,,164.9137264,20191001,360,24.79628855
DmdA,b,15,,152.8090003,20191001,380,29.85929877
DmdA,b,25,,102.2436743,20191001,360,34.01485084
DmdA,b,38,,82.95182891,20191001,430,35.59796367
DmdA,b,51,,73,20191001,580,21.09295073
DmdA,c,0,,197.910786,20191001,,
DmdA,c,3,,166.245308,20191001,360,24.79628855
DmdA,c,15,,159.3073177,20191001,380,29.85929877
DmdA,c,25,,96.72333055,20191001,360,34.01485084
DmdA,c,38,,86.49548631,20191001,430,35.59796367
DmdA,c,51,,68,20191001,580,21.09295073
DddP,a,0,,207.1939753,20191001,,
DddP,a,3,,178.4719486,20191001,330,33.65723749
DddP,a,15,,106.2080791,20191001,350,34.89556981
DddP,a,25,,96.98017582,20191001,430,31.76828947
DddP,a,38,,87.50521081,20191001,520,32.86108335
DddP,a,51,,79.21477778,20191001,680,46.47088995
DddK,a,4,,201.1428571,20191001,480,19.38090952
DddK,a,11,,187.7142857,20191001,580,17.18678671
DddK,a,20,,159.2857143,20191001,936,12.79160015
DddK,a,27,,156.6571429,20191001,1080,10.85195283
DddK,a,40,,128.2285714,20191001,480,30.40142669
DddK,b,4,,189.7142857,20191001,480,20.54843419
DddK,b,11,,180.1714286,20191001,580,17.90630966
DddK,b,20,,155.4285714,20191001,936,12.86214206
DddK,b,27,,149.0857143,20191001,1080,11.62144738
DddK,b,40,,111.9428571,20191001,380,43.98858805
DddK,c,4,,185.6,20191001,480,21.00394135
DddK,c,11,,179.2,20191001,580,18.0033783
DddK,c,20,,163.2,20191001,936,12.24965911
DddK,c,27,,154.4,20191001,1080,11.22144938
DddK,c,40,,120.4,20191001,380,40.89873944
DddQ,a,4,,94.68571429,20191219,400,49.40552915
DddQ,a,11,,88.22857143,20191219,500,42.41707865
DddQ,a,20,,75.37142857,20191219,530,46.84221139
DddQ,a,27,,70.91428571,20191219,660,39.97995839
DddQ,a,35,,74.85714286,20191219,1780,14.04322185
DddQ,b,4,,98.05714286,20191219,400,47.70685419
DddQ,b,11,,90.68571429,20191219,500,41.26778162
DddQ,b,20,,74.51428571,20191219,530,47.38104051
DddQ,b,27,,71.54285714,20191219,660,39.62869677
DddQ,b,35,,71.77142857,20191219,1780,14.64699095
DddQ,c,4,,94.97142857,20191219,400,49.25689639
DddQ,c,11,,89.25714286,20191219,500,41.92827749
DddQ,c,20,,73.14285714,20191219,530,48.26943502
DddQ,c,27,,72.62857143,20191219,660,39.03629297
DddQ,c,35,,71.71428571,20191219,1780,14.65866186
DddK,a,0,,210,20191219,,
DddK,b,0,,212,20191219,,
DddK,c,0,,213,20191219,,
DddQ,a,0,,142.4571429,20191219,,
DddQ,b,0,,133.4285714,20191219,,
DddQ,c,0,,137.4857143,20191219,,
Control,a,0,21.9,,20190718,,
Control,a,30,22.4,,20190718,,
Control,a,60,20.8,,20190718,,
Control,a,120,21.4,,20190718,,
Control,a,180,21,,20190718,,
Control,a,240,21.3,,20190718,,
