N,Sample Text,True_Conc,Calc_Conc,Date
1,10_uM_DMSP,10,10.3,20190831
2,10_uM_DMSP,10,10.24,20190831
3,10_uM_DMSP,10,10.37,20190831
4,10_uM_DMSP,10,10.17,20190831
5,10_uM_DMSP,10,10.34,20190831
1,10_uM_DMSP,10,9.78,20190901
2,10_uM_DMSP,10,9.49,20190901
3,10_uM_DMSP,10,9.91,20190901
4,10_uM_DMSP,10,9.61,20190901
5,10_uM_DMSP,10,9.71,20190901
1,5_uM_DMSP,5,4.6723,20190916
2,5_uM_DMSP,5,4.6394,20190916
3,5_uM_DMSP,5,4.5022,20190916
4,5_uM_DMSP,5,4.64,20190916
5,5_uM_DMSP,5,4.5806,20190916
1,5_uM_DMSP,5,5.74,20190920
2,5_uM_DMSP,5,5.89,20190920
3,5_uM_DMSP,5,6.08,20190920
4,5_uM_DMSP,5,6.17,20190920
5,5_uM_DMSP,5,5.85,20190920
1,5_uM_DMSP,5,6.33,20191001
2,5_uM_DMSP,5,6.29,20191001
3,5_uM_DMSP,5,6.41,20191001
4,5_uM_DMSP,5,6.41,20191001
5,5_uM_DMSP,5,6.07,20191001
6,5_uM_DMSP,5,5.7,20191001
7,5_uM_DMSP,5,6.23,20191001
