Experiment,Treatment,Enzyme_ug_ml,Type,Time_min,DMSP_uM
B,a,31,Before,0,95.6
B,a,31,Before,3,85.5
B,a,31,Before,11,80.6
B,a,31,Before,17,77.3
B,a,31,Before,26,76.8
B,a,31,Before,38,75.4
B,a,82.7,After,41,39.9
B,a,82.7,After,50,25.2
B,a,82.7,After,56,13.2
B,a,82.7,After,61,9
B,a,82.7,After,67,7.3
B,a,82.7,After,72,5
B,a,82.7,After,78,0.3
B,b,31,Before,0,93.1
B,b,31,Before,3,85.8
B,b,31,Before,11,79.2
B,b,31,Before,17,78
B,b,31,Before,26,74.9
B,b,31,Before,38,71.6
B,b,62,After,41,53.9
B,b,62,After,50,38.9
B,b,62,After,56,33.3
B,b,62,After,61,27.2
B,b,62,After,67,25.2
B,b,62,After,72,20.8
B,b,62,After,78,18.4
B,c,31,Before,0,93.4
B,c,31,Before,3,84.8
B,c,31,Before,11,78.5
B,c,31,Before,17,76.5
B,c,31,Before,26,73.8
B,c,31,Before,38,73.2
B,c,46.5,After,41,60.7
B,c,46.5,After,50,54.2
B,c,46.5,After,56,45.5
B,c,46.5,After,61,43.2
B,c,46.5,After,67,38
B,c,46.5,After,72,35.8
B,c,46.5,After,78,35.6
B,d,31,Before,0,95.6
B,d,31,Before,3,85
B,d,31,Before,11,78.4
B,d,31,Before,17,76.1
B,d,31,Before,26,75.2
B,d,31,Before,38,72.8
B,d,41.3,After,41,63.8
B,d,41.3,After,50,57.8
B,d,41.3,After,56,56.5
B,d,41.3,After,61,52.2
B,d,41.3,After,67,49.7
B,d,41.3,After,72,46.9
B,d,41.3,After,78,45.3
B,e,31,Before,0,93.9
B,e,31,Before,3,84.4
B,e,31,Before,11,79.5
B,e,31,Before,17,76.3
B,e,31,Before,26,73.3
B,e,31,Before,38,72.7
B,e,36.2,After,41,64.7
B,e,36.2,After,50,61.6
B,e,36.2,After,56,61
B,e,36.2,After,61,61.7
B,e,36.2,After,67,59.2
B,e,36.2,After,72,59.4
B,e,36.2,After,78,56.7
A,a,31,Before,0,93.7
A,a,31,Before,3,71.4
A,a,31,Before,11,51
A,a,31,Before,19,29.7
A,a,31,Before,28,24.1
A,a,31,Before,36,19.1
A,a,31,After,37,219.1
A,a,31,After,42,211.7
A,a,31,After,47,216.5
A,a,31,After,52,217.4
A,a,31,After,57,209.2
A,a,31,After,63,204.9
A,a,31,After,68,202.2
A,a,31,After,74,198.2
A,b,31,Before,0,94.9
A,b,31,Before,3,71.2
A,b,31,Before,11,46.3
A,b,31,Before,19,29.3
A,b,31,Before,28,23.7
A,b,31,Before,36,17.8
A,b,31,After,37,167.8
A,b,31,After,42,164.1
A,b,31,After,47,161.5
A,b,31,After,52,154
A,b,31,After,57,157.2
A,b,31,After,63,147
A,b,31,After,68,142.5
A,b,31,After,74,142.1
A,c,31,Before,0,94.1
A,c,31,Before,3,75.9
A,c,31,Before,11,45.8
A,c,31,Before,19,30.4
A,c,31,Before,28,23.2
A,c,31,Before,36,20.8
A,c,31,After,37,125.8
A,c,31,After,42,119
A,c,31,After,47,122.2
A,c,31,After,52,114.5
A,c,31,After,57,108.9
A,c,31,After,63,110.9
A,c,31,After,68,107.7
A,c,31,After,74,105.7
A,d,31,Before,0,93.4
A,d,31,Before,3,79.9
A,d,31,Before,11,49
A,d,31,Before,19,34.7
A,d,31,Before,28,19.4
A,d,31,Before,36,16.9
A,d,31,After,37,70
A,d,31,After,42,67.3
A,d,31,After,47,62.6
A,d,31,After,52,68.3
A,d,31,After,57,59.3
A,d,31,After,63,53.9
A,d,31,After,68,53.7
A,d,31,After,74,53.5
A,e,31,Before,0,95.5
A,e,31,Before,3,67.8
A,e,31,Before,11,45.6
A,e,31,Before,19,31.2
A,e,31,Before,28,27
A,e,31,Before,36,23.1
A,e,31,After,37,48.1
A,e,31,After,42,45.5
A,e,31,After,47,37.6
A,e,31,After,52,39
A,e,31,After,57,35.5
A,e,31,After,63,32.2
A,e,31,After,68,33.4
A,e,31,After,74,31.1
