Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,recA_hits,dmdA,dddK,dddP,dddW,dddQ,dddD,dddL
ERX555905,TARA_064,MES,EAFR,-29.5046,37.9599,1000,2211,21.93,0,5.44,0,0,2.65,0
ERX555906,TARA_041,SRF,MONS,14.6059,69.9776,5,13960,24.76,0,1.42,0,0,2.01,0
ERX555907,TARA_133,DCM,NPST,35.4002,-127.7499,45,17154,10.39,14.53,1.03,0,0.19,1.13,0
ERX555908,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,2932,30.79,0,0.84,0,1.56,1.56,0
ERX555909,TARA_034,SRF,REDS,18.3967,39.875,5,2925,13.03,1.48,1.49,0,0,2.01,0
ERX555910,TARA_137,MES,PNEC,14.2025,-116.6433,375,2697,13.41,0,0.94,0,0,1.39,0
ERX555911,TARA_072,MES,SATL,-8.7986,-17.9034,800,1515,2.94,0,0.63,0,0,0,0
ERX555912,TARA_031,SRF,REDS,27.16,34.835,5,14038,13.4,0,1.66,0,0,0.81,0
ERX555913,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,13183,15.16,3.5,1.27,0,0,4.47,0
ERX555914,TARA_018,SRF,MEDI,35.759,14.2574,5,15521,26.96,5.9,0.28,0,0,3.05,0
ERX555915,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,10305,23.89,60.73,12.98,0,0,9.49,0
ERX555916,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,9338,27.47,0.95,3.14,0,2.28,2.31,0
ERX555917,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,7937,24.65,0.41,0.18,0,0,2.3,0
ERX555918,TARA_070,SRF,SATL,-20.4091,-3.1759,5,1629,19.53,0,3.21,0,0,0.5,0
ERX555919,TARA_112,SRF,SPSG,-23.2811,-129.3947,5,10722,18.52,1.03,0.59,0,0,1.08,0
ERX555920,TARA_137,DCM,PNEC,14.2075,-116.6468,40,3524,24,0,6.78,0,0,3.8,0.1
ERX555922,TARA_065,MES,EAFR,-35.1889,26.2905,850,6666,15.33,0,4.38,0,0,1.28,0
ERX555923,TARA_052,DCM,ISSG,-16.9534,53.9601,75,1030,23.44,0,0,0,0,0,0.31
ERX555924,TARA_098,MES,SPSG,-25.8076,-111.6906,488,904,22.85,0,8.23,0,0,3.26,0
ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,4286,20.12,42.27,11.84,0,0,7.98,0
ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,4483,35.61,1.45,3.18,0,0,1.43,0
ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,15131,10.82,2.5,0.37,0,0,2.24,0
ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,1346,23.63,0,0,0,0,3.24,0
ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,2629,35.93,0,2.62,0,2.61,1.88,0
ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,1178,7.9,0,0,0,0,2.07,0
ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,9194,12.72,0,1.1,0,0,0.89,0
ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,11725,20.57,0.83,0.42,0,0.08,3.1,0
ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,10936,30.63,1.68,2.21,0,0.66,2.85,0
ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,1189,19,0,2.2,0,0,2.48,0
ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,1600,6.91,0,5.39,0,0,0.37,0
ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,2785,13.37,0,3.3,0,0,1.9,0
ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,2575,12.88,1.47,0.86,0,0,1.04,0
ERX555939,TARA_068,DCM,SATL,-31.027,4.6802,50,2995,15.06,5.59,0,0,0,0,0
ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,757,3.46,0,0,0,0,0,0
ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,17673,11.32,1.67,1.82,0,1.73,1.05,0
ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,1397,18.54,0,8.78,0,0,3.82,0
ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,11601,13.84,1.93,1.77,0,0,1.27,0.19
ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,6249,12.52,0,3.93,0,0,0.29,0
ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,12301,18.56,0,2.9,0,0,1.01,0
ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,2792,21.5,0,3.8,0,0,3.03,0
ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,8106,32.23,0.37,1.63,0,0,1.79,0
ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,1517,24.42,0,0.63,0,0,1.24,0
ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,8757,13.51,1.2,3.08,0,0,8.29,0
ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,14827,26.48,2.13,1.44,0.72,0,4.77,0
ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,5989,9.94,0,3.05,0,0,0.83,0
ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,11810,15.01,7.59,2.02,0,1.22,1.49,0
ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,1283,8.54,0,0.43,0,0,0,0
ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023,5,15732,14.96,9.27,0.71,0,0.55,3.38,0
ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,3143,20.77,11.34,1.64,0,0,4.59,0
ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,7005,3.06,0.54,0,0,0,0,0
ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,2513,20.68,0,0.54,0,0,2.4,0
ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,15656,11.24,2.47,1.13,0,0,1.83,0
ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,17758,17.22,0.97,0.08,0,0,1.49,0
ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,8230,41.89,1.8,3.83,0,0.51,4.44,0
ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,15975,15.01,6.05,0.92,0,0,5.17,0
ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,10011,21.93,29.96,2.17,0,0.4,3.7,0
ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,11070,13.36,0,0.08,0,0,1.05,0
ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,27160,15.17,17.45,1.12,0,0,2.82,0
ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,940,14.96,0,0,0,0,0.59,0
ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,6170,16.13,0,6.57,0,0,4.32,0
ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,1991,24.11,0,1.99,0,0,1.69,0
ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,6009,42.99,0,5.91,0,1.14,1.36,0.12
ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,714,13.99,0,11.2,0,0,4.66,0
ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,7955,15.86,0,2.56,0,0,3.47,0
ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,6783,9.06,0,4.85,0,0,4.73,0
ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,3037,13.12,5.87,0.42,0,0,1.22,0
ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,25597,9.75,0,0.86,0,0,1.07,0
ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,1173,13.23,0,3.71,0,0,2.04,0
ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,6420,28.57,2.1,2.03,0,0,3.96,0
ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,1094,76.15,0,0,0,0,2.58,0
ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,3183,19.19,0,4,0,0,4.17,0
ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,1606,6.4,0,6.01,0,0,2.21,0
ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,1990,45.03,53.86,4.14,0,0,5.69,0
ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,2138,32.43,0,2.11,0,0,4.05,0
ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,9062,24.6,1.91,1.52,0,0,3.74,0
ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,14527,19.61,0,0.75,0,0.61,1.11,0
ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,1613,25.25,0,0,0,0,3.71,0
ERX555987,TARA_072,DCM,SATL,-8.7296,-17.9604,100,9072,13.76,0.77,0.53,0,0,0.7,0
ERX555988,TARA_094,SRF,SPSG,-32.7971,-87.0693,5,22947,33.67,10.28,2.05,0,0.38,3.77,0
ERX555989,TARA_064,MES,EAFR,-29.5046,37.9599,1000,1244,24.32,0,7.13,0,0,5.11,0
ERX555990,TARA_128,SRF,PEOD,0.0003,-153.6759,5,8724,19.92,0,2.49,0,0,2.02,0.09
ERX555991,TARA_138,MES,PNEC,6.3559,-103.0598,450,2113,10.33,0,2.17,0,0,1.48,1.32
ERX555992,TARA_056,MES,EAFR,-15.3379,43.2948,1000,10608,6.69,0,0.54,0.15,0,0.81,0
ERX555993,TARA_112,MES,SPSG,-23.2232,-129.5986,696,4929,20.86,0,1.72,0,0,0.81,0
ERX555995,TARA_076,SRF,SATL,-20.9354,-35.1803,5,347,23.2,0,0,0,0,0,0
ERX555996,TARA_065,DCM,EAFR,-35.2421,26.3048,30,848,14.41,0,0,0,0,1.26,0
ERX555997,TARA_085,DCM,ANTA,-62.2231,-49.2139,90,7375,9.11,41,0.57,0,0,3.74,0
ERX555998,TARA_082,DCM,FKLD,-47.2007,-57.9446,40,1688,31.54,17.91,14.35,0,0,8.98,0
ERX555999,TARA_076,SRF,SATL,-20.9354,-35.1803,5,4720,24.08,2.29,1.53,0,0,2.32,0
ERX556000,TARA_152,MES,NAST-E,43.7182,-16.8714,800,6676,14.16,0,4.15,0,0,1.3,0
ERX556001,TARA_102,DCM,PEOD,-5.2669,-85.2732,40,5972,5.81,11.39,0.8,0,0,1.58,0
ERX556002,TARA_018,SRF,MEDI,35.759,14.2574,5,1642,21.79,0,0,0,0,1.25,0
