Station,Depth,Filter,MGT,Transcripts,Gene
9,SRF,0.8 to 5,66,0,alma1
9,SRF,0.8 to 5,44,0,alma1
9,SRF,0.8 to 5,36,1.01E-06,alma1
137,SRF,20 to 180,46,4.12E-07,alma1
137,SRF,20 to 180,44,0,alma1
111,SRF,180 to 2000,44,0,alma1
111,SRF,180 to 2000,2493,4.91E-08,alma1
137,DCM,5 to 20,332,0,alma1
137,DCM,5 to 20,58,2.39E-08,alma1
137,DCM,5 to 20,46,1.71E-07,alma1
137,DCM,5 to 20,12,4.16E-08,alma1
137,DCM,5 to 20,44,0,alma1
102,SRF,20 to 180,44,0,alma1
102,SRF,20 to 180,332,0,alma1
67,SRF,0.8 to 5,747,0,alma1
67,SRF,0.8 to 5,58,0,alma1
67,SRF,0.8 to 5,36,2.59E-07,alma1
109,DCM,20 to 180,58,0,alma1
109,DCM,20 to 180,38,0,alma1
109,DCM,20 to 180,166,0,alma1
109,DCM,20 to 180,1580,3.13E-08,alma1
109,DCM,20 to 180,179,0,alma1
109,DCM,20 to 180,332,0,alma1
109,DCM,20 to 180,2493,3.45E-08,alma1
109,DCM,20 to 180,44,0,alma1
68,DCM,180 to 2000,332,0,alma1
68,DCM,180 to 2000,2493,4.23E-08,alma1
68,DCM,180 to 2000,44,0,alma1
82,SRF,20 to 180,4,3.01E-07,alma1
82,SRF,20 to 180,67,9.86E-07,alma1
82,SRF,20 to 180,30,0,alma1
82,SRF,20 to 180,112,2.35E-07,alma1
82,SRF,20 to 180,74,0,alma1
82,SRF,20 to 180,13,1.02E-06,alma1
100,SRF,20 to 180,332,0,alma1
100,SRF,20 to 180,46,1.05E-07,alma1
100,SRF,20 to 180,44,0,alma1
81,SRF,0.8 to 5,2743,0,alma1
81,SRF,0.8 to 5,179,0,alma1
81,SRF,0.8 to 5,1580,5.01E-08,alma1
81,SRF,0.8 to 5,66,0,alma1
81,SRF,0.8 to 5,24,0,alma1
81,SRF,0.8 to 5,13,1.81E-07,alma1
81,SRF,0.8 to 5,44,0,alma1
81,SRF,0.8 to 5,67,8.94E-08,alma1
81,SRF,0.8 to 5,58,6.46E-08,alma1
81,SRF,0.8 to 5,4,1.42E-07,alma1
81,SRF,0.8 to 5,85,1.38E-07,alma1
81,SRF,0.8 to 5,166,0,alma1
81,SRF,0.8 to 5,36,1.06E-07,alma1
81,SRF,0.8 to 5,74,0,alma1
81,SRF,0.8 to 5,225,0,alma1
41,DCM,0.8 to 5,44,0,alma1
41,DCM,0.8 to 5,178,4.93E-07,alma1
41,DCM,0.8 to 5,13,7.61E-08,alma1
41,DCM,0.8 to 5,66,0,alma1
41,DCM,0.8 to 5,179,0,alma1
41,DCM,0.8 to 5,188,0,alma1
41,DCM,0.8 to 5,166,0,alma1
41,DCM,0.8 to 5,67,7.61E-08,alma1
41,DCM,0.8 to 5,58,1.22E-07,alma1
137,SRF,5 to 20,44,0,alma1
137,SRF,5 to 20,46,2.60E-07,alma1
137,SRF,5 to 20,58,2.95E-08,alma1
125,SRF,180 to 2000,58,4.11E-08,alma1
125,SRF,180 to 2000,44,0,alma1
138,SRF,180 to 2000,2493,6.36E-08,alma1
138,SRF,180 to 2000,58,0,alma1
9,SRF,180 to 2000,46,1.08E-07,alma1
81,DCM,5 to 20,67,2.10E-08,alma1
81,DCM,5 to 20,1580,3.01E-07,alma1
81,DCM,5 to 20,13,2.10E-08,alma1
150,SRF,20 to 180,46,7.47E-08,alma1
150,SRF,20 to 180,12,1.04E-07,alma1
150,SRF,20 to 180,2493,5.05E-08,alma1
93,SRF,0.8 to 5,188,0,alma1
