Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007
Tara_Oceans,ERR598943,Total,26541646,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,Total,19465217,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,Total,13686168,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,Total,23584453,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR598956,Total,24881437,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,Total,102893943,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,Total,25301577,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,Total,24203323,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,Total,27948130,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,Total,23015118,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,Total,19979067,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,Total,19967844,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,Total,27767579,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,Total,21315539,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,Total,21372057,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,Total,19109390,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,Total,16274217,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,Total,37264126,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,Total,19304566,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,Total,16420448,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,Total,50611881,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,Total,18052511,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,Total,25942802,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,Total,14927388,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,Total,22146064,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,Total,19776131,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,dsyB,3,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,dsyB,6,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,dsyB,2,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,dsyB,17,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR598956,dsyB,49,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,dsyB,29,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,dsyB,7,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,dsyB,136,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,dsyB,17,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,dsyB,29,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,dsyB,14,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,dsyB,4,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dsyB,26,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dsyB,19,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,dsyB,7,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dsyB,6,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dsyB,12,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dsyB,12,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dsyB,2,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dsyB,2,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dsyB,5,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dsyB,5,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dsyB,26,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dsyB,29,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dsyB,1,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dsyB,6,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,DSYB,2,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
