,Variable,Enzyme,Number
0,number_of_seqs,DsyB,230.0
18,number_of_seqs,Alma1,60.0
16,number_of_seqs,DddY,28.0
14,number_of_seqs,DddW,3.0
12,number_of_seqs,DddQ,845.0
20,number_of_seqs,RecA,"65,727"
8,number_of_seqs,DddL,96.0
10,number_of_seqs,DddP,"8,242"
6,number_of_seqs,DddK,425.0
4,number_of_seqs,DddD,"3,660"
2,number_of_seqs,DSYB,9.0
9,percentage_of_bacteria,DddL,0.146058697
5,percentage_of_bacteria,DddD,5.568487836
11,percentage_of_bacteria,DddP,12.53974774
13,percentage_of_bacteria,DddQ,1.285620826
3,percentage_of_bacteria,DSYB,0.013693003
15,percentage_of_bacteria,DddW,0.004564334000000001
17,percentage_of_bacteria,DddY,0.042600452999999996
1,percentage_of_bacteria,DsyB,0.34993229600000003
19,percentage_of_bacteria,Alma1,0.09128668599999999
7,percentage_of_bacteria,DddK,0.646614025
21,percentage_of_bacteria,RecA,100
